date,series_type,ron95,ron97,diesel,diesel_eastmsia,ron95_budi95,ron95_skps
2019-01-01,change_weekly,0.0,0.0,0.0,0.0,,
2019-01-01,level,2.2,2.5,2.18,2.18,,
2019-01-05,change_weekly,-0.2700000000000002,-0.27,-0.1400000000000001,-0.1400000000000001,,
2019-01-05,level,1.93,2.23,2.04,2.04,,
2019-01-12,level,1.92,2.22,2.05,2.05,,
2019-01-12,change_weekly,-0.01,-0.0099999999999997,0.0099999999999997,0.0099999999999997,,
2019-01-19,level,1.98,2.28,2.17,2.17,,
2019-01-19,change_weekly,0.06,0.0599999999999996,0.1200000000000001,0.1200000000000001,,
2019-01-26,level,1.98,2.28,2.18,2.18,,
2019-01-26,change_weekly,0.0,0.0,0.0100000000000002,0.0100000000000002,,
2019-02-02,change_weekly,-0.05,-0.0499999999999998,0.0,0.0,,
2019-02-02,level,1.93,2.23,2.18,2.18,,
2019-02-09,change_weekly,0.04,0.04,0.0,0.0,,
2019-02-09,level,1.97,2.27,2.18,2.18,,
2019-02-16,change_weekly,0.01,0.0099999999999997,0.0,0.0,,
2019-02-16,level,1.98,2.28,2.18,2.18,,
2019-02-23,change_weekly,0.1,0.1,0.0,0.0,,
2019-02-23,level,2.08,2.38,2.18,2.18,,
2019-03-02,level,2.08,2.43,2.18,2.18,,
2019-03-02,change_weekly,0.0,0.0500000000000002,0.0,0.0,,
2019-03-09,level,2.08,2.46,2.18,2.18,,
2019-03-09,change_weekly,0.0,0.0299999999999998,0.0,0.0,,
2019-03-16,level,2.08,2.54,2.18,2.18,,
2019-03-16,change_weekly,0.0,0.08,0.0,0.0,,
2019-03-23,change_weekly,0.0,0.0699999999999998,0.0,0.0,,
2019-03-23,level,2.08,2.61,2.18,2.18,,
2019-03-30,level,2.08,2.63,2.18,2.18,,
2019-03-30,change_weekly,0.0,0.02,0.0,0.0,,
2019-04-06,change_weekly,0.0,0.0,0.0,0.0,,
2019-04-06,level,2.08,2.63,2.18,2.18,,
2019-04-13,change_weekly,0.0,0.0500000000000002,0.0,0.0,,
2019-04-13,level,2.08,2.68,2.18,2.18,,
2019-04-20,change_weekly,0.0,0.1199999999999996,0.0,0.0,,
2019-04-20,level,2.08,2.8,2.18,2.18,,
2019-04-27,change_weekly,0.0,0.0100000000000002,0.0,0.0,,
2019-04-27,level,2.08,2.81,2.18,2.18,,
2019-05-04,change_weekly,0.0,-0.0100000000000002,0.0,0.0,,
2019-05-04,level,2.08,2.8,2.18,2.18,,
