date,ron95,ron97,diesel,diesel_eastmsia,ron95_budi95,ron95_skps,ron95_pct_chg,ron97_pct_chg,diesel_pct_chg
2019-01-01,2.2,2.5,2.18,2.18,1.99,2.05,0.0,0.0,0.0
2019-01-02,2.2,2.5,2.18,2.18,1.99,2.05,0.0,0.0,0.0
2019-01-03,2.2,2.5,2.18,2.18,1.99,2.05,0.0,0.0,0.0
2019-01-04,2.2,2.5,2.18,2.18,1.99,2.05,0.0,0.0,0.0
2019-01-05,1.93,2.23,2.04,2.04,1.99,2.05,-0.1227272727272728,-0.10799999999999998,-0.06422018348623859
2019-01-06,1.93,2.23,2.04,2.04,1.99,2.05,0.0,0.0,0.0
2019-01-07,1.93,2.23,2.04,2.04,1.99,2.05,0.0,0.0,0.0
2019-01-08,1.93,2.23,2.04,2.04,1.99,2.05,0.0,0.0,0.0
2019-01-09,1.93,2.23,2.04,2.04,1.99,2.05,0.0,0.0,0.0
2019-01-10,1.93,2.23,2.04,2.04,1.99,2.05,0.0,0.0,0.0
2019-01-11,1.93,2.23,2.04,2.04,1.99,2.05,0.0,0.0,0.0
2019-01-12,1.92,2.22,2.05,2.05,1.99,2.05,-0.005181347150259086,-0.004484304932735328,0.004901960784313708
2019-01-13,1.92,2.22,2.05,2.05,1.99,2.05,0.0,0.0,0.0
2019-01-14,1.92,2.22,2.05,2.05,1.99,2.05,0.0,0.0,0.0
2019-01-15,1.92,2.22,2.05,2.05,1.99,2.05,0.0,0.0,0.0
2019-01-16,1.92,2.22,2.05,2.05,1.99,2.05,0.0,0.0,0.0
2019-01-17,1.92,2.22,2.05,2.05,1.99,2.05,0.0,0.0,0.0
2019-01-18,1.92,2.22,2.05,2.05,1.99,2.05,0.0,0.0,0.0
2019-01-19,1.98,2.28,2.17,2.17,1.99,2.05,0.03125,0.02702702702702675,0.05853658536585371
2019-01-20,1.98,2.28,2.17,2.17,1.99,2.05,0.0,0.0,0.0
2019-01-21,1.98,2.28,2.17,2.17,1.99,2.05,0.0,0.0,0.0
2019-01-22,1.98,2.28,2.17,2.17,1.99,2.05,0.0,0.0,0.0
2019-01-23,1.98,2.28,2.17,2.17,1.99,2.05,0.0,0.0,0.0
2019-01-24,1.98,2.28,2.17,2.17,1.99,2.05,0.0,0.0,0.0
2019-01-25,1.98,2.28,2.17,2.17,1.99,2.05,0.0,0.0,0.0
2019-01-26,1.98,2.28,2.18,2.18,1.99,2.05,0.0,0.0,0.004608294930875667
2019-01-27,1.98,2.28,2.18,2.18,1.99,2.05,0.0,0.0,0.0
2019-01-28,1.98,2.28,2.18,2.18,1.99,2.05,0.0,0.0,0.0
2019-01-29,1.98,2.28,2.18,2.18,1.99,2.05,0.0,0.0,0.0
2019-01-30,1.98,2.28,2.18,2.18,1.99,2.05,0.0,0.0,0.0
2019-01-31,1.98,2.28,2.18,2.18,1.99,2.05,0.0,0.0,0.0
2019-02-01,1.98,2.28,2.18,2.18,1.99,2.05,0.0,0.0,0.0
2019-02-02,1.93,2.23,2.18,2.18,1.99,2.05,-0.025252525252525304,-0.021929824561403466,0.0
2019-02-03,1.93,2.23,2.18,2.18,1.99,2.05,0.0,0.0,0.0
2019-02-04,1.93,2.23,2.18,2.18,1.99,2.05,0.0,0.0,0.0
2019-02-05,1.93,2.23,2.18,2.18,1.99,2.05,0.0,0.0,0.0
2019-02-06,1.93,2.23,2.18,2.18,1.99,2.05,0.0,0.0,0.0
2019-02-07,1.93,2.23,2.18,2.18,1.99,2.05,0.0,0.0,0.0
2019-02-08,1.93,2.23,2.18,2.18,1.99,2.05,0.0,0.0,0.0
2019-02-09,1.97,2.27,2.18,2.18,1.99,2.05,0.020725388601036343,0.017937219730941756,0.0
2019-02-10,1.97,2.27,2.18,2.18,1.99,2.05,0.0,0.0,0.0
2019-02-11,1.97,2.27,2.18,2.18,1.99,2.05,0.0,0.0,0.0
2019-02-12,1.97,2.27,2.18,2.18,1.99,2.05,0.0,0.0,0.0
2019-02-13,1.97,2.27,2.18,2.18,1.99,2.05,0.0,0.0,0.0
2019-02-14,1.97,2.27,2.18,2.18,1.99,2.05,0.0,0.0,0.0
2019-02-15,1.97,2.27,2.18,2.18,1.99,2.05,0.0,0.0,0.0
2019-02-16,1.98,2.28,2.18,2.18,1.99,2.05,0.0050761421319796,0.004405286343612147,0.0
2019-02-17,1.98,2.28,2.18,2.18,1.99,2.05,0.0,0.0,0.0
2019-02-18,1.98,2.28,2.18,2.18,1.99,2.05,0.0,0.0,0.0
2019-02-19,1.98,2.28,2.18,2.18,1.99,2.05,0.0,0.0,0.0
2019-02-20,1.98,2.28,2.18,2.18,1.99,2.05,0.0,0.0,0.0
2019-02-21,1.98,2.28,2.18,2.18,1.99,2.05,0.0,0.0,0.0
2019-02-22,1.98,2.28,2.18,2.18,1.99,2.05,0.0,0.0,0.0
2019-02-23,2.08,2.38,2.18,2.18,1.99,2.05,0.05050505050505061,0.043859649122807154,0.0
2019-02-24,2.08,2.38,2.18,2.18,1.99,2.05,0.0,0.0,0.0
2019-02-25,2.08,2.38,2.18,2.18,1.99,2.05,0.0,0.0,0.0
2019-02-26,2.08,2.38,2.18,2.18,1.99,2.05,0.0,0.0,0.0
2019-02-27,2.08,2.38,2.18,2.18,1.99,2.05,0.0,0.0,0.0
2019-02-28,2.08,2.38,2.18,2.18,1.99,2.05,0.0,0.0,0.0
2019-03-01,2.08,2.38,2.18,2.18,1.99,2.05,0.0,0.0,0.0
2019-03-02,2.08,2.43,2.18,2.18,1.99,2.05,0.0,0.021008403361344685,0.0
2019-03-03,2.08,2.43,2.18,2.18,1.99,2.05,0.0,0.0,0.0
2019-03-04,2.08,2.43,2.18,2.18,1.99,2.05,0.0,0.0,0.0
2019-03-05,2.08,2.43,2.18,2.18,1.99,2.05,0.0,0.0,0.0
2019-03-06,2.08,2.43,2.18,2.18,1.99,2.05,0.0,0.0,0.0
2019-03-07,2.08,2.43,2.18,2.18,1.99,2.05,0.0,0.0,0.0
2019-03-08,2.08,2.43,2.18,2.18,1.99,2.05,0.0,0.0,0.0
2019-03-09,2.08,2.46,2.18,2.18,1.99,2.05,0.0,0.012345679012345512,0.0
2019-03-10,2.08,2.46,2.18,2.18,1.99,2.05,0.0,0.0,0.0
2019-03-11,2.08,2.46,2.18,2.18,1.99,2.05,0.0,0.0,0.0
2019-03-12,2.08,2.46,2.18,2.18,1.99,2.05,0.0,0.0,0.0
2019-03-13,2.08,2.46,2.18,2.18,1.99,2.05,0.0,0.0,0.0
2019-03-14,2.08,2.46,2.18,2.18,1.99,2.05,0.0,0.0,0.0
2019-03-15,2.08,2.46,2.18,2.18,1.99,2.05,0.0,0.0,0.0
2019-03-16,2.08,2.54,2.18,2.18,1.99,2.05,0.0,0.03252032520325199,0.0
2019-03-17,2.08,2.54,2.18,2.18,1.99,2.05,0.0,0.0,0.0
2019-03-18,2.08,2.54,2.18,2.18,1.99,2.05,0.0,0.0,0.0
2019-03-19,2.08,2.54,2.18,2.18,1.99,2.05,0.0,0.0,0.0
2019-03-20,2.08,2.54,2.18,2.18,1.99,2.05,0.0,0.0,0.0
2019-03-21,2.08,2.54,2.18,2.18,1.99,2.05,0.0,0.0,0.0
2019-03-22,2.08,2.54,2.18,2.18,1.99,2.05,0.0,0.0,0.0
2019-03-23,2.08,2.61,2.18,2.18,1.99,2.05,0.0,0.027559055118110187,0.0
2019-03-24,2.08,2.61,2.18,2.18,1.99,2.05,0.0,0.0,0.0
2019-03-25,2.08,2.61,2.18,2.18,1.99,2.05,0.0,0.0,0.0
2019-03-26,2.08,2.61,2.18,2.18,1.99,2.05,0.0,0.0,0.0
2019-03-27,2.08,2.61,2.18,2.18,1.99,2.05,0.0,0.0,0.0
2019-03-28,2.08,2.61,2.18,2.18,1.99,2.05,0.0,0.0,0.0
2019-03-29,2.08,2.61,2.18,2.18,1.99,2.05,0.0,0.0,0.0
2019-03-30,2.08,2.63,2.18,2.18,1.99,2.05,0.0,0.00766283524904221,0.0
2019-03-31,2.08,2.63,2.18,2.18,1.99,2.05,0.0,0.0,0.0
2019-04-01,2.08,2.63,2.18,2.18,1.99,2.05,0.0,0.0,0.0
2019-04-02,2.08,2.63,2.18,2.18,1.99,2.05,0.0,0.0,0.0
2019-04-03,2.08,2.63,2.18,2.18,1.99,2.05,0.0,0.0,0.0
2019-04-04,2.08,2.63,2.18,2.18,1.99,2.05,0.0,0.0,0.0
