node_i,node_j,gid_i,gid_j,shared_border_km
0,5,MYS.1_1,MYS.6_1,33.81
0,6,MYS.1_1,MYS.7_1,46.5
0,7,MYS.1_1,MYS.8_1,137.45
1,8,MYS.2_1,MYS.9_1,99.5
1,9,MYS.2_1,MYS.10_1,28.1
1,10,MYS.2_1,MYS.11_1,59.13
2,7,MYS.3_1,MYS.8_1,182.55
2,8,MYS.3_1,MYS.9_1,157.13
2,15,MYS.3_1,MYS.16_1,94.38
3,14,MYS.4_1,MYS.15_1,65.25
5,6,MYS.6_1,MYS.7_1,74.57
6,7,MYS.7_1,MYS.8_1,111.46
6,14,MYS.7_1,MYS.15_1,73.67
7,8,MYS.8_1,MYS.9_1,117.8
7,14,MYS.8_1,MYS.15_1,72.23
7,15,MYS.8_1,MYS.16_1,200.48
8,10,MYS.9_1,MYS.11_1,11.96
8,14,MYS.9_1,MYS.15_1,125.53
11,14,MYS.12_1,MYS.15_1,29.78
12,13,MYS.13_1,MYS.14_1,128.19
