from_stop_id,to_stop_id,route_id,travel_time_s,operator
37500,37405,ERT,180,ktmb
37405,37400,ERT,120,ktmb
37400,36900,ERT,660,ktmb
36900,36600,ERT,780,ktmb
36600,36000,ERT,720,ktmb
36000,35500,ERT,480,ktmb
35500,34800,ERT,720,ktmb
34800,34200,ERT,720,ktmb
34200,33600,ERT,660,ktmb
33600,33200,ERT,480,ktmb
33200,32400,ERT,840,ktmb
32400,32100,ERT,420,ktmb
32100,31300,ERT,840,ktmb
31300,30500,ERT,780,ktmb
30500,29900,ERT,540,ktmb
29900,29500,ERT,480,ktmb
29500,29100,ERT,600,ktmb
29100,28300,ERT,780,ktmb
28300,27800,ERT,1200,ktmb
27800,60800,ERT,1680,ktmb
60800,61000,ERT,780,ktmb
61000,61800,ERT,900,ktmb
61800,62500,ERT,780,ktmb
62500,63700,ERT,2580,ktmb
63700,64100,ERT,720,ktmb
64100,64400,ERT,480,ktmb
64400,64700,ERT,360,ktmb
64700,64900,ERT,360,ktmb
64900,66100,ERT,1740,ktmb
66100,66600,ERT,540,ktmb
66600,67100,ERT,660,ktmb
67100,67400,ERT,360,ktmb
67400,67900,ERT,660,ktmb
67900,68200,ERT,780,ktmb
68200,68700,ERT,1620,ktmb
68700,69100,ERT,540,ktmb
69100,69400,ERT,240,ktmb
69400,69600,ERT,240,ktmb
69600,70000,ERT,420,ktmb
70000,70200,ERT,240,ktmb
70200,71300,ERT,2100,ktmb
71300,71800,ERT,600,ktmb
71800,72000,ERT,240,ktmb
72000,72200,ERT,180,ktmb
72200,72400,ERT,420,ktmb
72400,72600,ERT,360,ktmb
72600,72700,ERT,180,ktmb
72700,73100,ERT,540,ktmb
73100,73500,ERT,540,ktmb
73500,74000,ERT,960,ktmb
74000,74500,ERT,300,ktmb
74500,74800,ERT,420,ktmb
74800,75000,ERT,240,ktmb
75000,75300,ERT,960,ktmb
75300,76000,ERT,540,ktmb
76000,76600,ERT,1320,ktmb
76600,76800,ERT,780,ktmb
76800,77000,ERT,120,ktmb
77000,77200,ERT,240,ktmb
77200,77400,ERT,660,ktmb
77400,77800,ERT,1020,ktmb
77800,77900,ERT,60,ktmb
77900,78100,ERT,720,ktmb
78100,78300,ERT,480,ktmb
78300,78400,ERT,240,ktmb
78400,78500,ERT,240,ktmb
78500,78700,ERT,240,ktmb
78700,78900,ERT,660,ktmb
78900,79300,ERT,960,ktmb
79300,79800,ERT,960,ktmb
79800,80000,ERT,420,ktmb
80000,80300,ERT,1020,ktmb
80300,80500,ERT,720,ktmb
80500,80700,ERT,1260,ktmb
80700,81200,ERT,960,ktmb
81200,81700,ERT,840,ktmb
81700,82100,ERT,900,ktmb
82100,82400,ERT,660,ktmb
82400,83100,ERT,1200,ktmb
83100,83700,ERT,1320,ktmb
83700,84200,ERT,660,ktmb
84200,84400,ERT,180,ktmb
84400,84600,ERT,420,ktmb
84600,84800,ERT,180,ktmb
84800,85100,ERT,540,ktmb
85100,85500,ERT,480,ktmb
85500,85700,ERT,480,ktmb
85700,86000,ERT,600,ktmb
86000,86300,ERT,600,ktmb
86300,86000,ERT,480,ktmb
86000,85700,ERT,780,ktmb
85700,85500,ERT,300,ktmb
85500,85100,ERT,660,ktmb
85100,84800,ERT,360,ktmb
84800,84600,ERT,240,ktmb
84600,84400,ERT,360,ktmb
84400,84200,ERT,240,ktmb
84200,83700,ERT,780,ktmb
83700,83100,ERT,1200,ktmb
83100,82400,ERT,960,ktmb
82400,82100,ERT,720,ktmb
82100,81700,ERT,720,ktmb
81700,81200,ERT,900,ktmb
81200,80700,ERT,900,ktmb
80700,80500,ERT,1260,ktmb
80500,80300,ERT,720,ktmb
80300,80000,ERT,1080,ktmb
80000,79800,ERT,540,ktmb
79800,79300,ERT,1500,ktmb
79300,78900,ERT,900,ktmb
78900,78700,ERT,600,ktmb
78700,78500,ERT,240,ktmb
78500,78400,ERT,240,ktmb
78400,78300,ERT,240,ktmb
78300,78100,ERT,480,ktmb
78100,77900,ERT,720,ktmb
77900,77800,ERT,120,ktmb
77800,77400,ERT,960,ktmb
77400,77200,ERT,660,ktmb
77200,77000,ERT,240,ktmb
77000,76800,ERT,120,ktmb
76800,76600,ERT,840,ktmb
76600,76000,ERT,1440,ktmb
76000,75300,ERT,360,ktmb
75300,75000,ERT,960,ktmb
75000,74800,ERT,360,ktmb
74800,74500,ERT,300,ktmb
74500,74000,ERT,360,ktmb
74000,73500,ERT,900,ktmb
73500,73100,ERT,600,ktmb
73100,72700,ERT,480,ktmb
72700,72600,ERT,240,ktmb
72600,72400,ERT,300,ktmb
