from_stop_id,to_stop_id,route_id,travel_time_s,operator
1001828,1006035,P0010,160,rapidbus_kl
1006035,1001979,P0010,92,rapidbus_kl
1001979,1006036,P0010,79,rapidbus_kl
1006036,1006206,P0010,64,rapidbus_kl
1006206,1003674,P0010,37,rapidbus_kl
1003674,1002425,P0010,28,rapidbus_kl
1002425,1003891,P0010,65,rapidbus_kl
1003891,1001844,P0010,54,rapidbus_kl
1001844,1001000,P0010,85,rapidbus_kl
1001000,1000942,P0010,172,rapidbus_kl
1000942,1000528,P0010,179,rapidbus_kl
1000528,1003570,P0010,130,rapidbus_kl
1003570,1000840,P0010,52,rapidbus_kl
1000840,1003149,P0010,28,rapidbus_kl
1003149,1002339,P0010,33,rapidbus_kl
1002339,1002272,P0010,25,rapidbus_kl
1002272,1001765,P0010,33,rapidbus_kl
1001765,1006037,P0010,184,rapidbus_kl
1006037,1002554,P0010,62,rapidbus_kl
1002554,1003446,P0010,54,rapidbus_kl
1003446,1002851,P0010,58,rapidbus_kl
1002851,1000839,P0010,50,rapidbus_kl
1000839,1003745,P0010,56,rapidbus_kl
1003745,1003075,P0010,92,rapidbus_kl
1003075,1003685,P0010,138,rapidbus_kl
1003685,1002254,P0010,170,rapidbus_kl
1002254,1000943,P0010,205,rapidbus_kl
1000943,1000999,P0010,203,rapidbus_kl
1000999,1004161,P0010,70,rapidbus_kl
1004161,1001981,P0010,120,rapidbus_kl
1001981,1006205,P0010,93,rapidbus_kl
1006205,1006033,P0010,38,rapidbus_kl
1006033,1006034,P0010,67,rapidbus_kl
1006034,1006035,P0010,143,rapidbus_kl
1001979,1006035,P0010,93,rapidbus_kl
1006035,1001509,P0010,96,rapidbus_kl
1001509,1001785,P0010,81,rapidbus_kl
1001785,1003320,P0010,115,rapidbus_kl
1003320,1000484,P0010,73,rapidbus_kl
1000484,1005034,P0010,116,rapidbus_kl
1005034,1000944,P0010,123,rapidbus_kl
1000944,1003538,P0010,74,rapidbus_kl
1003538,1004190,P0010,46,rapidbus_kl
1004190,1002675,P0010,70,rapidbus_kl
1002675,1001955,P0010,58,rapidbus_kl
1001955,1003407,P0010,85,rapidbus_kl
1003407,1001007,P0010,113,rapidbus_kl
1001007,1002619,P0010,62,rapidbus_kl
1002619,1002617,P0010,27,rapidbus_kl
1002617,1001729,P0010,140,rapidbus_kl
1001729,1003129,P0010,167,rapidbus_kl
1003129,1003339,P0010,84,rapidbus_kl
1003339,1006035,P0010,116,rapidbus_kl
1001509,1000165,P0010,64,rapidbus_kl
1000165,1001828,P0010,332,rapidbus_kl
1001828,1002556,P0020,100,rapidbus_kl
1002556,1001785,P0020,196,rapidbus_kl
1001785,1003320,P0020,121,rapidbus_kl
1003320,1000484,P0020,75,rapidbus_kl
1000484,1005034,P0020,128,rapidbus_kl
1005034,1002012,P0020,120,rapidbus_kl
1002012,1000836,P0020,32,rapidbus_kl
1000836,1000980,P0020,61,rapidbus_kl
1000980,1006038,P0020,153,rapidbus_kl
1006038,1001276,P0020,120,rapidbus_kl
1001276,1900004,P0020,45,rapidbus_kl
1900004,1000204,P0020,38,rapidbus_kl
1000204,1002865,P0020,92,rapidbus_kl
1002865,1000944,P0020,111,rapidbus_kl
1000944,1003538,P0020,80,rapidbus_kl
1003538,1004190,P0020,44,rapidbus_kl
1004190,1002675,P0020,78,rapidbus_kl
1002675,1001955,P0020,63,rapidbus_kl
1001955,1003407,P0020,91,rapidbus_kl
1003407,1001007,P0020,117,rapidbus_kl
1001007,1004179,P0020,101,rapidbus_kl
1004179,1003630,P0020,84,rapidbus_kl
1003630,1002142,P0020,24,rapidbus_kl
1002142,1004272,P0020,107,rapidbus_kl
1004272,1001828,P0020,219,rapidbus_kl
1001830,1002952,P0030,125,rapidbus_kl
1002952,1006208,P0030,198,rapidbus_kl
1006208,1006209,P0030,92,rapidbus_kl
1006209,1006210,P0030,92,rapidbus_kl
1006210,1003347,P0030,117,rapidbus_kl
1003347,1001381,P0030,288,rapidbus_kl
1001381,1006211,P0030,41,rapidbus_kl
1006211,1006212,P0030,52,rapidbus_kl
1006212,1002198,P0030,29,rapidbus_kl
1002198,1003137,P0030,169,rapidbus_kl
1003137,1006213,P0030,89,rapidbus_kl
1006213,1000032,P0030,78,rapidbus_kl
1000032,1006214,P0030,54,rapidbus_kl
1006214,1006227,P0030,96,rapidbus_kl
1006227,1006216,P0030,29,rapidbus_kl
1006216,1003501,P0030,47,rapidbus_kl
1003501,1001910,P0030,119,rapidbus_kl
1001910,1002914,P0030,124,rapidbus_kl
1002914,1006217,P0030,122,rapidbus_kl
1006217,1003552,P0030,177,rapidbus_kl
1003552,1002107,P0030,116,rapidbus_kl
1002107,1003411,P0030,39,rapidbus_kl
1003411,1001830,P0030,107,rapidbus_kl
1001830,1002952,P0040,80,rapidbus_kl
1002952,1006218,P0040,79,rapidbus_kl
1006218,1001134,P0040,80,rapidbus_kl
1001134,1002341,P0040,90,rapidbus_kl
1002341,1000031,P0040,62,rapidbus_kl
1000031,1002879,P0040,99,rapidbus_kl
1002879,1002192,P0040,93,rapidbus_kl
1002192,1002167,P0040,39,rapidbus_kl
1002167,1002969,P0040,83,rapidbus_kl
1002969,1002933,P0040,41,rapidbus_kl
1002933,1003551,P0040,44,rapidbus_kl
1003551,1004256,P0040,22,rapidbus_kl
1004256,1002817,P0040,17,rapidbus_kl
1002817,1003626,P0040,26,rapidbus_kl
1003626,1000837,P0040,45,rapidbus_kl
1000837,1002331,P0040,73,rapidbus_kl
1002331,1003205,P0040,96,rapidbus_kl
1003205,1003403,P0040,63,rapidbus_kl
1003403,1000813,P0040,31,rapidbus_kl
1000813,1000897,P0040,43,rapidbus_kl
1000897,1003414,P0040,72,rapidbus_kl
1003414,1006225,P0040,108,rapidbus_kl
1006225,1000820,P0040,54,rapidbus_kl
1000820,1003232,P0040,30,rapidbus_kl
1003232,1006226,P0040,63,rapidbus_kl
1006226,1002049,P0040,53,rapidbus_kl
1002049,1000204,P0040,75,rapidbus_kl
1000204,1006038,P0040,94,rapidbus_kl
1006038,1001276,P0040,102,rapidbus_kl
1001276,1000639,P0040,134,rapidbus_kl
1000639,1003411,P0040,67,rapidbus_kl
1003411,1001830,P0040,42,rapidbus_kl
1000909,1000248,P0050,49,rapidbus_kl
1000248,1007490,P0050,162,rapidbus_kl
1007490,1008182,P0050,46,rapidbus_kl
1008182,1008183,P0050,8,rapidbus_kl
1008183,1008184,P0050,25,rapidbus_kl
1008184,1008185,P0050,20,rapidbus_kl
1008185,1008187,P0050,20,rapidbus_kl
1008187,1000036,P0050,111,rapidbus_kl
1000036,1001431,P0050,64,rapidbus_kl
1001431,1007130,P0050,63,rapidbus_kl
1007130,1007495,P0050,20,rapidbus_kl
1007495,1002486,P0050,27,rapidbus_kl
1002486,1001246,P0050,23,rapidbus_kl
1001246,1001248,P0050,15,rapidbus_kl
1001248,1001276,P0050,206,rapidbus_kl
