GID_1,NAME_1,density_mean_per_km2,density_median_per_km2,density_log_mean,density_log_median,n_grid_cells
MYS.10_1,Perlis,312.78291618910566,187.91259765625,4.956818580543236,5.241275870072833,964
MYS.11_1,PulauPinang,1765.7507326913458,769.2716064453124,6.659952103909923,6.646740287579447,1240
MYS.12_1,Putrajaya,1608.9591649015185,1506.5687255859375,7.2429179744841035,7.318253516673922,71
MYS.13_1,Sabah,58.624821629086675,20.966236114501957,2.9928413955261375,3.089506552397974,86411
MYS.14_1,Sarawak,23.224913247690843,3.9167301654815674,1.865032176062439,1.5926437090475212,144089
MYS.15_1,Selangor,904.0586704150455,101.8522720336914,4.8562775754500205,4.633293706605493,9167
MYS.16_1,Trengganu,89.63601658916144,10.95744514465332,2.4903361590643724,2.481354083939854,15092
MYS.1_1,Johor,213.9772623917528,28.806251525878903,3.598204338317665,3.3947181542576494,22369
MYS.2_1,Kedah,242.93648077438348,70.73037338256836,4.167634615333068,4.272914275480035,11162
MYS.3_1,Kelantan,110.60577174603749,12.094865322113037,2.857379163697438,2.5722201814253802,17758
MYS.4_1,KualaLumpur,7814.70205078125,7735.4736328125,8.89500344302416,8.953701245676918,320
MYS.5_1,Labuan,1186.60512787688,1013.6993408203125,6.774511122142752,6.922345660021108,102
MYS.6_1,Melaka,619.5079625409844,189.49246215820312,5.468401825412966,5.24961262506055,1937
MYS.7_1,NegeriSembilan,179.35318733394078,29.496931076049805,3.734670195325134,3.4176260580934046,7811
MYS.8_1,Pahang,46.82851368012419,11.883028984069824,2.551064988159684,2.555910862598817,42019
MYS.9_1,Perak,128.54273957838492,16.787805557250977,3.062645990461528,2.878513141469466,24535
