year,type,event_name,spatial_coverage,notes,start_date,end_date,duration_days
2019,Academic,Term 1 Break,Group A,,2019-03-22,2019-03-30,9
2019,Academic,Term 1 Break,Group B,,2019-03-23,2019-03-31,9
2019,Academic,Mid-Year Break,Group A,,2019-05-24,2019-06-08,16
2019,Academic,Mid-Year Break,Group B,,2019-05-25,2019-06-09,16
2019,Academic,Term 2 Break,Group A,,2019-08-09,2019-08-17,9
2019,Academic,Term 2 Break,Group B,,2019-08-10,2019-08-18,9
2019,Academic,Year-End Break,Group A,,2019-11-22,2019-12-31,40
2019,Academic,Year-End Break,Group B,,2019-11-23,2019-12-31,39
2019,Public,New Year's Day,"National (Exc. JHR, KDH, KEL, PLS, TRG)",,2019-01-01,2019-01-01,1
2019,Public,Thaipusam,State-specific,"[State-specific: typically SGR, PNG, PRK, JHR, KUL]",2019-01-21,2019-01-21,1
2019,Public,Federal Territory Day,"KUL, LBN, PJY",,2019-02-01,2019-02-01,1
2019,Public,Chinese New Year,National,,2019-02-05,2019-02-06,2
2019,Public,Labour Day,National,,2019-05-01,2019-05-01,1
2019,Public,Wesak Day,National,"Replacement observed on Monday, May 20",2019-05-19,2019-05-19,1
2019,Public,Hari Raya Aidilfitri,National,,2019-06-05,2019-06-06,2
2019,Public,Installation of 16th Agong,National,Ad-hoc declaration (Exogenous Shock),2019-07-30,2019-07-30,1
2019,Public,Hari Raya Haji,National,"Replacement observed on Monday, Aug 12",2019-08-11,2019-08-12,2
2019,Public,National Day,National,,2019-08-31,2019-08-31,1
2019,Public,Awal Muharram,National,"Replacement observed on Monday, Sep 2",2019-09-01,2019-09-01,1
2019,Public,Agong's Birthday,National,,2019-09-09,2019-09-09,1
2019,Public,Malaysia Day,National,,2019-09-16,2019-09-16,1
2019,Public,Deepavali,National (Exc. SRW),"Replacement observed on Monday, Oct 28",2019-10-27,2019-10-27,1
2019,Public,Prophet Muhammad's Birthday,National,,2019-11-09,2019-11-09,1
2019,Public,Christmas Day,National,,2019-12-25,2019-12-25,1
