date,bus_rkl,bus_rpn,rail_lrt_ampang,rail_mrt_kajang,rail_lrt_kj,rail_monorail,rail_mrt_pjy,rail_ets,rail_intercity,rail_komuter_utara,rail_tebrau,rail_komuter,total_ridership,fp_lv_ron95,fp_lv_ron97,fp_lv_diesel,fp_lv_diesel_eastmsia,fp_lv_ron95_budi95,fp_lv_ron95_skps,fp_lv_ron95_pct_chg,fp_lv_ron97_pct_chg,fp_lv_diesel_pct_chg,fp_chg_ron95,fp_chg_ron97,fp_chg_diesel,fp_chg_diesel_eastmsia,fp_chg_ron95_budi95,fp_chg_ron95_skps,is_public_holiday,is_school_holiday,is_holiday_any,days_to_next_public_hol,days_since_last_public_hol,days_to_next_school_hol,days_since_last_school_hol,day_of_week,month,is_weekend,dow_sin,dow_cos,month_sin,month_cos,rainfall_mm__MY01,rainfall_mm__MY02,rainfall_mm__MY03,rainfall_mm__MY04,rainfall_mm__MY05,rainfall_mm__MY06,rainfall_mm__MY07,rainfall_mm__MY08,rainfall_mm__MY09,rainfall_mm__MY10,rainfall_mm__MY11,rainfall_mm__MY12,rainfall_mm__MY13,rainfall_mm__MY15,rainfall_mm__MY17,pop_density_median,pop_density_log_median,gtfs_n_stops,gtfs_n_routes,gtfs_n_directed_edges,gtfs_avg_segment_s,osm_poi_total_mean,osm_poi_transport_mean,osm_poi_food_mean,osm_poi_retail_mean,osm_poi_education_mean,osm_poi_healthcare_mean,osm_poi_leisure_mean,osm_poi_other_mean,gadm_n_states,gadm_n_border_pairs,gadm_mean_border_km
2022-01-01,84122.0,28072.0,71002.0,76294.0,84319.0,25112.0,,5789.0,1668.0,7744.0,,,384122.0,2.05,3.0,2.15,2.15,1.99,2.05,0.0,0.0,0.0,0.0,0.0099999999999997,0.0,0.0,0.0,0.0,0,0,0,31,7,153,1,5,1,1,-0.9749279121818236,-0.2225209339563146,0.4999999999999999,0.8660254037844387,144.50322,19.76207,37.569073,117.111115,60.6,97.09434,127.29954,169.97969,52.191963,6.3809524,12.67742,80.276695,116.48003,89.85336,112.86614,11.94289779663086,2.5605472050087315,5981,7,10634,108.5,11.226,0.0,0.0,0.5342,1.2558,0.1453,0.0,9.2908,16,20,92.47
2022-01-02,77263.0,24772.0,61952.0,61436.0,69092.0,17318.0,,6583.0,1516.0,7946.0,,,327878.0,2.05,3.0,2.15,2.15,1.99,2.05,0.0,0.0,0.0,0.0,0.0099999999999997,0.0,0.0,0.0,0.0,0,0,0,30,8,152,2,6,1,1,-0.7818314824680299,0.6234898018587334,0.4999999999999999,0.8660254037844387,131.4596504,18.1955182,34.129485280000004,108.055559,57.4,88.1584909,115.07972423,153.61860764,48.438987,6.0452381,12.1387103,78.76672450000001,119.832573,81.23196630999999,104.5515732,11.94289779663086,2.5605472050087315,5981,7,10634,108.5,11.226,0.0,0.0,0.5342,1.2558,0.1453,0.0,9.2908,16,20,92.47
2022-01-03,114263.0,27094.0,98823.0,95714.0,127098.0,18272.0,,4936.0,1344.0,6942.0,,,494486.0,2.05,3.0,2.15,2.15,1.99,2.05,0.0,0.0,0.0,0.0,0.0099999999999997,0.0,0.0,0.0,0.0,0,0,0,29,9,151,3,0,1,0,0.0,1.0,0.4999999999999999,0.8660254037844387,118.4160808,16.6289664,30.68989756,99.000003,54.2,79.2226418,102.85990846,137.25752528,44.686011,5.7095238,11.6000006,77.256754,123.185116,72.61057262,96.2370064,11.94289779663086,2.5605472050087315,5981,7,10634,108.5,11.226,0.0,0.0,0.5342,1.2558,0.1453,0.0,9.2908,16,20,92.47
2022-01-04,113677.0,26469.0,101465.0,98546.0,132713.0,19085.0,,3981.0,1407.0,5767.0,,,503110.0,2.05,3.0,2.15,2.15,1.99,2.05,0.0,0.0,0.0,0.0,0.0099999999999997,0.0,0.0,0.0,0.0,0,0,0,28,10,150,4,1,1,0,0.7818314824680298,0.6234898018587336,0.4999999999999999,0.8660254037844387,105.3725112,15.0624146,27.250309840000003,89.944447,51.0,70.2867927,90.64009269,120.89644292,40.933035,5.3738095,11.0612909,75.7467835,126.537659,63.98917893,87.9224396,11.94289779663086,2.5605472050087315,5981,7,10634,108.5,11.226,0.0,0.0,0.5342,1.2558,0.1453,0.0,9.2908,16,20,92.47
2022-01-05,116090.0,26478.0,103732.0,97942.0,133924.0,19952.0,,3772.0,1437.0,5427.0,,,508754.0,2.05,3.0,2.15,2.15,1.99,2.05,0.0,0.0,0.0,0.0,0.0099999999999997,0.0,0.0,0.0,0.0,0,0,0,27,11,149,5,2,1,0,0.9749279121818236,-0.2225209339563143,0.4999999999999999,0.8660254037844387,92.3289416,13.4958628,23.81072212,80.888891,47.8,61.3509436,78.42027691999999,104.53536056,37.180059,5.0380952,10.5225812,74.236813,129.890202,55.36778524,79.6078728,11.94289779663086,2.5605472050087315,5981,7,10634,108.5,11.226,0.0,0.0,0.5342,1.2558,0.1453,0.0,9.2908,16,20,92.47
2022-01-06,116291.0,25632.0,101724.0,99296.0,132767.0,19174.0,,3987.0,1988.0,6094.0,,,506953.0,2.05,3.03,2.15,2.15,1.99,2.05,0.0,0.01,0.0,0.0,0.0299999999999998,0.0,0.0,0.0,0.0,0,0,0,26,12,148,6,3,1,0,0.4338837391175582,-0.900968867902419,0.4999999999999999,0.8660254037844387,79.285372,11.929311,20.371134400000003,71.833335,44.6,52.4150945,66.20046115,88.1742782,33.427083,4.7023809,9.9838715,72.7268425,133.242745,46.74639155,71.293306,11.94289779663086,2.5605472050087315,5981,7,10634,108.5,11.226,0.0,0.0,0.5342,1.2558,0.1453,0.0,9.2908,16,20,92.47
2022-01-07,116071.0,26682.0,105127.0,102232.0,134437.0,20734.0,,4988.0,2181.0,6852.0,,,519304.0,2.05,3.03,2.15,2.15,1.99,2.05,0.0,0.0,0.0,0.0,0.0299999999999998,0.0,0.0,0.0,0.0,0,0,0,25,13,147,7,4,1,0,-0.433883739117558,-0.9009688679024191,0.4999999999999999,0.8660254037844387,66.24180239999998,10.3627592,16.931546680000004,62.777779,41.4,43.4792454,53.980645379999984,71.81319583999999,29.674107,4.3666666,9.4451618,71.216872,136.59528799999998,38.12499785999999,62.97873920000001,11.94289779663086,2.5605472050087315,5981,7,10634,108.5,11.226,0.0,0.0,0.5342,1.2558,0.1453,0.0,9.2908,16,20,92.47
2022-01-08,88331.0,23747.0,73222.0,75906.0,81698.0,18684.0,,4783.0,2210.0,6212.0,,,374793.0,2.05,3.03,2.15,2.15,1.99,2.05,0.0,0.0,0.0,0.0,0.0299999999999998,0.0,0.0,0.0,0.0,0,0,0,24,14,146,8,5,1,1,-0.9749279121818236,-0.2225209339563146,0.4999999999999999,0.8660254037844387,53.19823279999999,8.7962074,13.491958960000002,53.722223,38.2,34.5433963,41.76082960999999,55.45211348,25.921131,4.0309523,8.9064521,69.7069015,139.947831,29.50360417,54.664172400000005,11.94289779663086,2.5605472050087315,5981,7,10634,108.5,11.226,0.0,0.0,0.5342,1.2558,0.1453,0.0,9.2908,16,20,92.47
2022-01-09,85326.0,24987.0,63425.0,63752.0,68595.0,17786.0,,5404.0,1275.0,6309.0,,,336859.0,2.05,3.03,2.15,2.15,1.99,2.05,0.0,0.0,0.0,0.0,0.0299999999999998,0.0,0.0,0.0,0.0,0,0,0,23,15,145,9,6,1,1,-0.7818314824680299,0.6234898018587334,0.4999999999999999,0.8660254037844387,14.067524,4.096552,3.1731958,26.555555,28.6,7.735849,5.1013823,6.3688664,14.662203,3.0238094,7.290323,65.17699,150.00546,3.6394231,29.720472,11.94289779663086,2.5605472050087315,5981,7,10634,108.5,11.226,0.0,0.0,0.5342,1.2558,0.1453,0.0,9.2908,16,20,92.47
2022-01-10,130355.0,29802.0,107164.0,102406.0,136382.0,19486.0,,3764.0,954.0,5251.0,,,535564.0,2.05,3.03,2.15,2.15,1.99,2.05,0.0,0.0,0.0,0.0,0.0299999999999998,0.0,0.0,0.0,0.0,0,0,0,22,16,144,10,0,1,0,0.0,1.0,0.4999999999999999,0.8660254037844387,14.067524,4.096552,3.1731958,26.555555,28.6,7.735849,5.1013823,6.3688664,14.662203,3.0238094,7.290323,65.17699,150.00546,3.6394231,29.720472,11.94289779663086,2.5605472050087315,5981,7,10634,108.5,11.226,0.0,0.0,0.5342,1.2558,0.1453,0.0,9.2908,16,20,92.47
2022-01-11,130246.0,29382.0,106859.0,103597.0,137666.0,19005.0,,2995.0,1012.0,4745.0,,,535507.0,2.05,3.03,2.15,2.15,1.99,2.05,0.0,0.0,0.0,0.0,0.0299999999999998,0.0,0.0,0.0,0.0,0,0,0,21,17,143,11,1,1,0,0.7818314824680298,0.6234898018587336,0.4999999999999999,0.8660254037844387,14.067524,4.096552,3.1731958,26.555555,28.6,7.735849,5.1013823,6.3688664,14.662203,3.0238094,7.290323,65.17699,150.00546,3.6394231,29.720472,11.94289779663086,2.5605472050087315,5981,7,10634,108.5,11.226,0.0,0.0,0.5342,1.2558,0.1453,0.0,9.2908,16,20,92.47
2022-01-12,129869.0,28747.0,106828.0,103636.0,138009.0,19245.0,,3146.0,865.0,4600.0,,,534945.0,2.05,3.03,2.15,2.15,1.99,2.05,0.0,0.0,0.0,0.0,0.0299999999999998,0.0,0.0,0.0,0.0,0,0,0,20,18,142,12,2,1,0,0.9749279121818236,-0.2225209339563143,0.4999999999999999,0.8660254037844387,13.6381028,4.5303451,3.49525768,29.4555552,38.8,8.3471697,6.18940067,6.91768196,16.3453874,4.33095226,7.854839099999999,69.395435,152.307816,3.68004809,32.4964564,11.94289779663086,2.5605472050087315,5981,7,10634,108.5,11.226,0.0,0.0,0.5342,1.2558,0.1453,0.0,9.2908,16,20,92.47
2022-01-13,127868.0,28125.0,105268.0,102554.0,136254.0,18356.0,,3727.0,1120.0,4990.0,,,528262.0,2.05,3.07,2.15,2.15,1.99,2.05,0.0,0.0132013201320131,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0,0,0,19,19,141,13,3,1,0,0.4338837391175582,-0.900968867902419,0.4999999999999999,0.8660254037844387,13.2086816,4.9641382,3.81731956,32.3555554,49.0,8.9584904,7.27741904,7.46649752,18.0285718,5.638095119999999,8.4193552,73.61388000000001,154.610172,3.72067308,35.2724408,11.94289779663086,2.5605472050087315,5981,7,10634,108.5,11.226,0.0,0.0,0.5342,1.2558,0.1453,0.0,9.2908,16,20,92.47
2022-01-14,124258.0,28289.0,107544.0,104953.0,138134.0,20154.0,,4799.0,1923.0,5715.0,,,535769.0,2.05,3.07,2.15,2.15,1.99,2.05,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0,0,0,18,20,140,14,4,1,0,-0.433883739117558,-0.9009688679024191,0.4999999999999999,0.8660254037844387,12.7792604,5.3979313,4.13938144,35.255555599999994,59.2,9.5698111,8.36543741,8.01531308,19.7117562,6.945237979999999,8.9838713,77.832325,156.912528,3.76129807,38.0484252,11.94289779663086,2.5605472050087315,5981,7,10634,108.5,11.226,0.0,0.0,0.5342,1.2558,0.1453,0.0,9.2908,16,20,92.47
2022-01-15,88800.0,23236.0,71825.0,72486.0,79576.0,16644.0,,5917.0,1827.0,5709.0,,,366020.0,2.05,3.07,2.15,2.15,1.99,2.05,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0,0,0,17,21,139,15,5,1,1,-0.9749279121818236,-0.2225209339563146,0.4999999999999999,0.8660254037844387,12.3498392,5.831724400000001,4.46144332,38.1555558,69.4,10.1811318,9.45345578,8.56412864,21.3949406,8.252380839999999,9.5483874,82.05077,159.214884,3.80192306,40.8244096,11.94289779663086,2.5605472050087315,5981,7,10634,108.5,11.226,0.0,0.0,0.5342,1.2558,0.1453,0.0,9.2908,16,20,92.47
2022-01-16,82243.0,24146.0,61116.0,61057.0,66479.0,15740.0,,6331.0,1255.0,6241.0,,,324608.0,2.05,3.07,2.15,2.15,1.99,2.05,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0,0,0,16,22,138,16,6,1,1,-0.7818314824680299,0.6234898018587334,0.4999999999999999,0.8660254037844387,11.920418000000002,6.2655175,4.7835052000000005,41.055556,79.6,10.7924525,10.54147415,9.1129442,23.078125,9.5595237,10.1129035,86.269215,161.51724000000002,3.84254805,43.600394,11.94289779663086,2.5605472050087315,5981,7,10634,108.5,11.226,0.0,0.0,0.5342,1.2558,0.1453,0.0,9.2908,16,20,92.47
2022-01-17,126147.0,27824.0,104506.0,99212.0,129828.0,18873.0,,4077.0,1050.0,5426.0,,,516943.0,2.05,3.07,2.15,2.15,1.99,2.05,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0,0,0,15,23,137,17,0,1,0,0.0,1.0,0.4999999999999999,0.8660254037844387,11.4909968,6.6993106,5.10556708,43.9555562,89.8,11.4037732,11.62949252,9.66175976,24.761309399999995,10.86666656,10.6774196,90.48766,163.819596,3.88317304,46.3763784,11.94289779663086,2.5605472050087315,5981,7,10634,108.5,11.226,0.0,0.0,0.5342,1.2558,0.1453,0.0,9.2908,16,20,92.47
2022-01-18,79529.0,21468.0,62011.0,62590.0,67733.0,13922.0,,5086.0,1290.0,4944.0,,,318573.0,2.05,3.07,2.15,2.15,1.99,2.05,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0,0,0,14,24,136,18,1,1,0,0.7818314824680298,0.6234898018587336,0.4999999999999999,0.8660254037844387,11.0615756,7.1331037,5.42762896,46.8555564,100.0,12.0150939,12.71751089,10.21057532,26.4444938,12.173809419999998,11.2419357,94.706105,166.121952,3.92379803,49.152362800000006,11.94289779663086,2.5605472050087315,5981,7,10634,108.5,11.226,0.0,0.0,0.5342,1.2558,0.1453,0.0,9.2908,16,20,92.47
