stop_id,stop_name,stop_lat,stop_lon,route_id,operator,node_idx
AG18,AMPANG,3.150318,101.760049,AG,rapid_rail_kl,0
AG17,CAHAYA,3.140575,101.756677,AG,rapid_rail_kl,1
AG16,CEMPAKA,3.138324,101.752979,AG,rapid_rail_kl,2
AG15,PANDAN INDAH,3.134581,101.746509,AG,rapid_rail_kl,3
AG14,PANDAN JAYA,3.130141,101.739122,AG,rapid_rail_kl,4
AG13,MALURI,3.12329,101.727283,AG,rapid_rail_kl,5
AG12,MIHARJA,3.120973,101.717922,AG,rapid_rail_kl,6
AG11,CHAN SOW LIN,3.128105,101.715637,AG,rapid_rail_kl,7
AG10,PUDU,3.134879,101.711957,AG,rapid_rail_kl,8
AG9,HANG TUAH,3.140012,101.705984,AG,rapid_rail_kl,9
AG8,PLAZA RAKYAT,3.144049,101.702105,AG,rapid_rail_kl,10
AG7,MASJID JAMEK,3.14927,101.696377,AG,rapid_rail_kl,11
AG6,BANDARAYA - UOB,3.155567,101.694485,AG,rapid_rail_kl,12
AG5,SULTAN ISMAIL,3.161245,101.694109,AG,rapid_rail_kl,13
AG4,PWTC,3.166333,101.693586,AG,rapid_rail_kl,14
AG3,TITIWANGSA,3.173497,101.695367,AG,rapid_rail_kl,15
AG2,SENTUL,3.178484,101.695542,AG,rapid_rail_kl,16
AG1,SENTUL TIMUR,3.185897,101.695217,AG,rapid_rail_kl,17
KJ37,PUTRA HEIGHTS,2.996227,101.575462,KJ,rapid_rail_kl,18
KJ36,SUBANG ALAM,3.009421,101.572281,KJ,rapid_rail_kl,19
KJ35,ALAM MEGAH,3.023151,101.572029,KJ,rapid_rail_kl,20
KJ34,USJ 21,3.029881,101.581711,KJ,rapid_rail_kl,21
KJ33,WAWASAN,3.035062,101.588348,KJ,rapid_rail_kl,22
KJ32,TAIPAN,3.04815,101.590233,KJ,rapid_rail_kl,23
KJ31,USJ 7,3.054956,101.592194,KJ,rapid_rail_kl,24
KJ30,SS 18,3.067182,101.585945,KJ,rapid_rail_kl,25
KJ29,SS 15,3.075972,101.585983,KJ,rapid_rail_kl,26
KJ28,SUBANG JAYA,3.08466,101.588127,KJ,rapid_rail_kl,27
KJ27,CGC GLENMARIE,3.094732,101.590622,KJ,rapid_rail_kl,28
KJ26,ARA DAMANSARA,3.108643,101.586372,KJ,rapid_rail_kl,29
KJ25,LEMBAH SUBANG,3.112094,101.591034,KJ,rapid_rail_kl,30
KJ24,KELANA JAYA,3.112497,101.6043,KJ,rapid_rail_kl,31
KJ23,TAMAN BAHAGIA,3.11079,101.612856,KJ,rapid_rail_kl,32
KJ22,TAMAN PARAMOUNT,3.104716,101.623192,KJ,rapid_rail_kl,33
KJ21,ASIA JAYA,3.104343,101.637695,KJ,rapid_rail_kl,34
KJ20,TAMAN JAYA,3.104086,101.645248,KJ,rapid_rail_kl,35
KJ19,UNIVERSITI,3.114616,101.661639,KJ,rapid_rail_kl,36
KJ18,KERINCHI,3.115506,101.668572,KJ,rapid_rail_kl,37
KJ17,ABDULLAH HUKUM,3.118735,101.672897,KJ,rapid_rail_kl,38
KJ16,BANK RAKYAT BANGSAR,3.127588,101.679062,KJ,rapid_rail_kl,39
KJ15,KL SENTRAL - REDONE,3.13442,101.68625,KJ,rapid_rail_kl,40
KJ14,PASAR SENI,3.142439,101.69531,KJ,rapid_rail_kl,41
KJ13,MASJID JAMEK,3.149714,101.696815,KJ,rapid_rail_kl,42
KJ12,DANG WANGI,3.156942,101.701975,KJ,rapid_rail_kl,43
KJ11,KAMPUNG BARU - CBP COOPBANK PERTAMA,3.161386,101.706608,KJ,rapid_rail_kl,44
KJ10,KLCC,3.158935,101.713287,KJ,rapid_rail_kl,45
KJ9,AMPANG PARK,3.159894,101.719017,KJ,rapid_rail_kl,46
KJ8,DAMAI,3.164406,101.724489,KJ,rapid_rail_kl,47
KJ7,DATO' KERAMAT,3.16509,101.73184,KJ,rapid_rail_kl,48
KJ6,JELATEK,3.167204,101.735344,KJ,rapid_rail_kl,49
KJ5,SETIAWANGSA,3.17576,101.73584,KJ,rapid_rail_kl,50
KJ4,SRI RAMPAI,3.199176,101.73747,KJ,rapid_rail_kl,51
KJ3,WANGSA MAJU,3.205751,101.731796,KJ,rapid_rail_kl,52
KJ2,TAMAN MELATI,3.219558,101.72197,KJ,rapid_rail_kl,53
KJ1,GOMBAK,3.231793,101.724427,KJ,rapid_rail_kl,54
SP31,PUTRA HEIGHTS,2.996016,101.575521,PH,rapid_rail_kl,55
SP29,PUCHONG PRIMA,2.999808,101.596692,PH,rapid_rail_kl,56
SP28,PUCHONG PERDANA,3.007913,101.605021,PH,rapid_rail_kl,57
SP27,BANDAR PUTERI,3.017111,101.612855,PH,rapid_rail_kl,58
SP26,TAMAN PERINDUSTRIAN PUCHONG,3.022814,101.613514,PH,rapid_rail_kl,59
SP25,PUSAT BANDAR PUCHONG,3.033194,101.616057,PH,rapid_rail_kl,60
SP24,IOI PUCHONG JAYA,3.048101,101.62095,PH,rapid_rail_kl,61
SP22,KINRARA,3.050506,101.644294,PH,rapid_rail_kl,62
SP21,ALAM SUTERA,3.0547,101.656468,PH,rapid_rail_kl,63
SP20,MUHIBBAH,3.062229,101.662552,PH,rapid_rail_kl,64
