admin_zone,total_stops,ktmb_stops,rapid_bus_kl_stops,rapid_rail_kl_stops,area_km2,stops_per_km2
Selangor,2526,30,2434,62,6.36734964999999e-07,3967113695.4132934
KualaLumpur,1289,19,1167,103,2.2144579999999768e-08,58208374238.75339
Putrajaya,99,0,97,2,5.021069999999615e-09,19716912928.919052
Kelantan,38,38,0,0,1.2343570850000018e-06,30785256.925875664
Pahang,28,28,0,0,2.918742175000003e-06,9593173.470349424
Johor,23,23,0,0,1.5539790999999986e-06,14800713.85773465
Perak,20,20,0,0,1.7047110699999988e-06,11732193.420906227
NegeriSembilan,14,14,0,0,5.422389750000012e-07,25818874.417870775
Kedah,8,8,0,0,7.772886599999999e-07,10292186.689048057
PulauPinang,6,6,0,0,8.603343999999921e-08,69740324.22741732
Perlis,3,3,0,0,6.735823000000037e-08,44537987.41445527
Melaka,1,1,0,0,1.344863200000004e-07,7435700.523294838
Labuan,0,0,0,0,7.3967000000000855e-09,0.0
Sabah,0,0,0,0,6.030245934999977e-06,0.0
Sarawak,0,0,0,0,1.006900481999998e-05,0.0
Trengganu,0,0,0,0,1.0508450849999965e-06,0.0
