Service,Type,Num_Stops,Num_Routes,Num_Trips,Avg_Route_Length_km,Avg_Headway_mins,Stop_Density,Mean_Ridership,Median_Ridership,Max_Ridership,Ridership_Std,Ridership_per_Trip,Ridership_per_Stop,ridership_zscore,gtfs_score
LRT Kelana Jaya,rail,167,7,42,146.23486742119488,6.880434782608695,1.141998505178632,220198.89613647768,229233.0,352504.0,75153.48381267817,5242.830860392326,1318.5562642902855,1.6190230980765818,0.05112102349036018
MRT Kajang,rail,167,7,42,120.27988749393664,6.880434782608695,1.388428302349539,195428.1239337682,198435.0,401756.0,62178.03210284097,4653.050569851624,1170.2282870285521,1.3216772206093272,0.04513520573879865
Rapid Bus KL,bus,3698,124,2042,0.0,34.27709661598823,0.0,182380.02385557705,178107.0,269734.0,48893.04298492002,89.3144093318203,49.31855701881478,1.1650491294347647,0.44723337795626955
LRT Ampang,rail,167,7,42,26.515184713132452,6.880434782608695,6.298277828601668,163650.68539889614,160366.0,270317.0,45378.44242502775,3896.444890449908,979.9442239454859,0.9402240197365767,0.02351089996209534
MRT Putrajaya,rail,167,7,42,181.21315221682778,6.880434782608695,0.9215666631094124,109304.89314079423,110976.0,236225.0,57266.80865384492,2602.497455733196,654.5203182083487,0.2878625530290151,0.05918782372043809
Monorail,rail,167,7,42,14.127069719241911,6.880434782608695,11.821276692117973,45373.59157049674,47086.0,99361.0,13320.64336665371,1080.323608821351,271.69815311674694,-0.47956241085501206,0.020653914564817518
Rapid Bus Penang,bus,1925,47,5976,0.0,0.0,0.0,41156.5467440361,42030.0,60669.0,7189.124278598622,6.886972346726256,21.38002428261616,-0.530183396102518,0.506850549846764
Komuter,rail,191,9,304,241.20917476638783,0.0,0.7918438433570545,29931.632762312634,30105.5,92398.0,8506.849701290148,98.45931829708104,156.7101191744117,-0.6649261433239767,0.08980163514562269
Komuter Utara,rail,191,9,304,356.74570049391394,0.0,0.5353953803383216,13190.860090264345,13077.0,27688.0,4341.259008601937,43.39098713902745,69.06209471342589,-0.8658807077967612,0.1164470260722119
ETS,rail,191,9,304,1445.3597377727995,0.0,0.13214703233280728,11124.42617666022,11459.0,25781.0,2701.4871666925724,36.59350716006651,58.24306898774984,-0.8906859742713163,0.36750656251591307
Komuter Terbau,rail,191,9,304,2.2339340926094176,0.0,85.49938900699456,8354.442112879884,8424.0,10036.0,942.5168521356853,27.481717476578567,43.74053462240777,-0.9239365865362412,0.03468842597274625
Intercity,rail,191,9,304,495.7664697680539,0.0,0.3852620369613944,3795.5725338491297,3715.0,7954.0,1600.605495024676,12.48543596660898,19.872107507063507,-0.9786608020004406,0.14850842588408192
