period,day_of_week,mean,std,count
Holiday,0,577383.375,221647.27056483075,8
Holiday,1,482399.3333333333,203965.0920394631,6
Holiday,2,758700.4285714285,169109.68742688588,7
Holiday,3,872100.375,277039.43110474234,8
Holiday,4,948833.5769230769,284787.95997516095,26
Holiday,5,643989.75,279859.25935356965,8
Holiday,6,699769.0,257490.89445947105,14
Normal,0,1014677.9898989899,293721.2938942003,198
Normal,1,1034103.75,311201.8055591825,216
Normal,2,1041424.6261261262,315329.32276548166,222
Normal,3,1035319.9751243781,310689.4928806642,201
Normal,4,1049401.3596059114,307006.8214981064,203
Normal,5,715057.994949495,231918.9358646984,198
Normal,6,631070.9435897436,213030.05442834643,195
Post-Holiday,0,853678.7466666667,302288.25625896157,75
Post-Holiday,1,986087.2631578947,256458.70524925835,57
Post-Holiday,2,970196.0638297872,338494.5354525461,47
Post-Holiday,3,970310.4901960784,271699.9368103254,51
Post-Holiday,4,1039455.1276595745,230811.53900037688,47
Post-Holiday,5,730906.9846153846,219375.78087022644,65
Post-Holiday,6,667512.2058823529,222754.4491369034,68
Pre-Holiday,0,700196.0,330569.60175027186,4
Pre-Holiday,1,1123665.5714285714,296578.9382063721,7
Pre-Holiday,2,1245303.875,192920.56286938232,8
Pre-Holiday,3,1035186.4583333334,270614.49395853316,24
Pre-Holiday,4,950735.875,270170.67762510927,8
Pre-Holiday,5,730160.0714285715,264764.72970355116,14
Pre-Holiday,6,636790.5,251904.62301377938,8
