admin_zone,total_pois,poi_density_per_km2,area_km2,shannon_diversity,shop_count,tourism_count,leisure_count,dominant_type,dominant_pct,top3_types,hospital,marketplace,other,school,pct_hospital,pct_marketplace,pct_other,pct_school
Selangor,310,486858767.0538879,6.36734964999999e-07,1.498809384193494,12,0,0,school,61.29032258064516,"{'school': 190, 'marketplace': 70, 'hospital': 30}",30,70,20,190,9.67741935483871,21.897073662966697,5.855238142432799,54.68731745135824
Sabah,237,39301879.650452584,6.030245934999977e-06,1.4330543861955027,6,0,0,school,63.29113924050633,"{'school': 150, 'marketplace': 53, 'hospital': 23}",23,53,11,150,9.70464135021097,21.483179120559612,4.101603115566866,55.0884415649872
Sarawak,218,21650600.421502277,1.006900481999998e-05,1.2101981435836047,7,0,0,school,72.01834862385321,"{'school': 157, 'marketplace': 39, 'hospital': 15}",15,39,7,157,6.8807339449541285,17.342526109660575,2.889895874748648,64.05204951350886
Johor,162,104248506.30230494,1.5539790999999986e-06,1.1535118806273812,6,0,0,school,75.30864197530865,"{'school': 122, 'marketplace': 22, 'hospital': 12}",12,22,6,122,7.4074074074074066,12.986445124617402,3.289584553814124,65.70322152298432
KualaLumpur,139,6276930969.1130495,2.2144579999999768e-08,1.7508795734432805,8,0,0,school,46.043165467625904,"{'school': 64, 'marketplace': 37, 'hospital': 29}",29,37,9,64,20.863309352517987,23.144772962512935,4.917815588334158,34.055976698278144
Perak,117,68633331.51230143,1.7047110699999988e-06,1.1987942514152918,2,0,0,school,70.94017094017094,"{'school': 83, 'marketplace': 24, 'hospital': 7}",7,24,3,83,5.982905982905983,19.514907220793663,2.105295465630424,57.39848939886869
Trengganu,102,97064735.28398369,1.0508450849999965e-06,0.8535303858449738,0,0,0,school,83.33333333333334,"{'school': 85, 'marketplace': 10, 'hospital': 6}",6,10,1,85,5.88235294117647,9.269356597600872,0.8535940311387423,72.03066085045829
Pahang,81,27751680.396367975,2.918742175000003e-06,0.9675022097489919,1,2,0,school,76.5432098765432,"{'school': 62, 'marketplace': 16, 'hospital': 2}",2,16,1,62,2.4691358024691357,19.16876201745304,0.974298988229958,59.83851506864477
Kelantan,79,64000928.8722152,1.2343570850000018e-06,1.0914392596791782,2,0,0,school,77.21518987341773,"{'school': 61, 'hospital': 8, 'marketplace': 8}",8,8,2,61,10.126582278481013,8.975997727595512,2.038682366841034,60.91395150666384
PulauPinang,62,720650017.0166457,8.603343999999921e-08,1.5678697984755192,3,0,0,school,50.0,"{'school': 31, 'marketplace': 22, 'hospital': 6}",6,22,3,31,9.67741935483871,30.693069306930692,2.930532069561528,29.439410733818615
Kedah,54,69472260.15107438,7.772886599999999e-07,1.58795189945947,3,1,0,school,48.148148148148145,"{'school': 26, 'marketplace': 20, 'hospital': 5}",5,20,3,26,9.25925925925926,31.61592505854801,3.1620491929172734,26.520536197255907
NegeriSembilan,49,90366060.4625477,5.422389750000012e-07,1.4976477444981398,1,0,0,school,61.224489795918366,"{'school': 30, 'marketplace': 9, 'hospital': 8}",8,9,2,30,16.3265306122449,13.776944704779757,2.528333922099577,36.75037988208854
Melaka,24,178456812.5590761,1.344863200000004e-07,1.0434356963218767,0,0,0,school,70.83333333333334,"{'school': 17, 'marketplace': 6, 'other': 1}",0,6,1,17,0.0,25.0,2.0408163265306123,33.30667732906837
Perlis,13,192997945.4626395,6.735823000000037e-08,0.3912435636292556,0,0,0,school,92.3076923076923,"{'school': 12, 'hospital': 1}",1,0,0,12,7.6923076923076925,0.0,0.0,57.99256505576208
Putrajaya,5,995803683.27874,5.021069999999615e-09,0.0,0,0,0,school,100.0,{'school': 5},0,0,0,5,0.0,0.0,0.0,100.0
Labuan,2,270390849.97363377,7.3967000000000855e-09,1.0,1,0,0,other,50.0,"{'other': 1, 'school': 1}",0,0,1,1,0.0,0.0,50.0,1.9230769230769231
