admin_zone,pop_point_count,mean_density,median_density,std_density,min_density,max_density,total_density_sum,area_km2,pop_density_per_km2
Sarawak,144089,23.224913247690843,3.916730165481568,162.12719940758427,0.1413445770740509,5579.103515625,3346454.5249465257,1.006900481999998e-05,332352063065.8048
Sabah,86411,58.624821629086675,20.96623611450196,308.4631657821515,0.3795716166496276,8708.5400390625,5065829.461791009,6.030245934999977e-06,840070125894.6295
Pahang,42019,46.82851368012419,11.883028984069824,211.34263451547972,0.01556699257344,5804.0146484375,1967687.3163251383,2.918742175000003e-06,674155920032.6204
Perak,24535,128.54273957838492,16.787805557250977,465.9249396736213,0.0781040340662002,6395.958984375,3153796.115555674,1.7047110699999988e-06,1850047301890.0945
Johor,22369,213.9772623917528,28.806251525878903,714.6752069313067,0.1832422912120819,8405.421875,4786457.382441118,1.5539790999999986e-06,3080129830858.808
Kelantan,17758,110.60577174603749,12.094865322113037,364.3725918273782,0.0193025097250938,6013.79150390625,1964137.2946661338,1.2343570850000018e-06,1591222927736.6128
Trengganu,15092,89.63601658916143,10.95744514465332,319.3079523903314,2.1869058400625363e-05,5677.2802734375,1352786.7623636243,1.0508450849999965e-06,1287332244946.1033
Kedah,11162,242.93648077438348,70.73037338256836,596.9136158002906,0.4806348085403442,8447.2734375,2711656.9984036684,7.772886599999999e-07,3488610008029.281
Selangor,9167,904.0586704150455,101.8522720336914,1973.8231724515267,0.3375696241855621,18495.12890625,8287505.831694722,6.36734964999999e-07,13015628616679.994
NegeriSembilan,7811,179.35318733394078,29.496931076049805,555.4224894139018,2.1880877017974854,6648.9345703125,1400927.7462654114,5.422389750000012e-07,2583598396381.242
Melaka,1937,619.5079625409844,189.49246215820312,1045.5229931185202,10.27702522277832,7245.65625,1199986.923441887,1.344863200000004e-07,8922743394583.8
PulauPinang,1240,1765.7507326913458,769.2716064453124,2452.97011630794,1.1638208627700803,14458.0830078125,2189530.9085372686,8.603343999999921e-08,25449765911223.457
Perlis,964,312.78291618910566,187.91259765625,440.7713296164896,1.4946638345718384,3330.974609375,301522.7312062979,6.735823000000037e-08,4476405202546.092
KualaLumpur,320,7814.70205078125,7735.4736328125,2738.2720689411526,1847.284423828125,15213.19140625,2500704.65625,2.2144579999999768e-08,112926262600149.84
Labuan,102,1186.60512787688,1013.6993408203125,819.916390049685,19.18897819519043,3655.195556640625,121033.72304344177,7.3967000000000855e-09,16363205624594.803
Putrajaya,71,1608.9591649015185,1506.5687255859375,781.7148247611418,293.61688232421875,3567.96630859375,114236.10070800781,5.021069999999615e-09,22751345969687.05
