admin_zone,total_pois,poi_density_per_km2,mean_pop_density,median_pop_density,pop_point_count,accessibility_index
Trengganu,102,97064735.28398369,89.63601658916144,10.95744514465332,15092,1082876.4929266225
Sarawak,218,21650600.421502277,23.224913247690843,3.916730165481568,144089,932214.4797959538
KualaLumpur,139,6276930969.1130495,7814.70205078125,7735.4736328125,320,803220.7662332479
Sabah,237,39301879.650452584,58.624821629086675,20.96623611450196,86411,670396.5753467295
Putrajaya,5,995803683.27874,1608.9591649015185,1506.5687255859375,71,618911.7194529243
Perlis,13,192997945.4626395,312.78291618910566,187.91259765625,964,617034.8042472842
Pahang,81,27751680.396367975,46.82851368012419,11.883028984069824,42019,592623.5580726289
Kelantan,79,64000928.8722152,110.60577174603749,12.094865322113037,17758,578640.0461918757
Selangor,310,486858767.0538879,904.0586704150455,101.8522720336914,9167,538525.6322251466
Perak,117,68633331.51230143,128.54273957838492,16.787805557250977,24535,533933.9408621291
NegeriSembilan,49,90366060.4625477,179.35318733394078,29.496931076049805,7811,503844.1847944056
Johor,162,104248506.30230494,213.9772623917528,28.806251525878903,22369,487194.31745717546
PulauPinang,62,720650017.0166457,1765.7507326913458,769.2716064453124,1240,408126.69856194005
Melaka,24,178456812.5590761,619.5079625409844,189.49246215820312,1937,288062.17732394364
Kedah,54,69472260.15107438,242.93648077438348,70.73037338256836,11162,285968.82580016326
Labuan,2,270390849.97363377,1186.60512787688,1013.6993408203125,102,227869.2748087374
