admin_zone,mean_friction,median_friction,std_friction,min_friction,max_friction,high_friction_count,high_friction_pct,mean_pop_density,sum_pop_density,population_weighted_friction
Kelantan,0.03928606,0.040780157,0.02587918,0.012,0.12289411,0,0.0,110.60577174603749,1964137.2946661338,0.01489263484262958
Perak,0.038900267,0.037677173,0.026809296,0.012,0.12289411,0,0.0,128.54273957838492,3153796.115555674,0.014694812473946505
Sabah,0.038517397,0.03890186,0.023185806,0.012,0.12289411,0,0.0,58.624821629086675,5065829.461791009,0.020425875129091556
Trengganu,0.037450958,0.039275207,0.021966433,0.012,0.12289411,0,0.0,89.63601658916144,1352786.7623636245,0.014490873466336703
Pahang,0.037144285,0.038213704,0.020648442,0.012,0.12289411,0,0.0,46.82851368012419,1967687.3163251383,0.017930380496046408
Sarawak,0.03705066,0.038074985,0.022318386,0.012,0.12289411,0,0.0,23.224913247690843,3346454.5249465257,0.018540461764950323
Kedah,0.027950348,0.012,0.022008374,0.012,0.12289411,0,0.0,242.93648077438348,2711656.9984036684,0.013570753096712648
NegeriSembilan,0.026190827,0.012,0.021113707,0.012,0.12289411,0,0.0,179.35318733394078,1400927.7462654114,0.013366179547918222
Johor,0.024376381,0.012,0.01632954,0.012,0.12289411,0,0.0,213.9772623917528,4786457.382441118,0.012975255831089258
Selangor,0.02291083,0.012,0.018952446,0.012,0.12289411,0,0.0,904.0586704150455,8287505.831694722,0.012488658741154651
Perlis,0.01545567,0.012,0.011715508,0.012,0.087744065,0,0.0,312.78291618910566,301522.7312062979,0.012352999926539208
Melaka,0.015079796,0.012,0.008806334,0.012,0.07060607,0,0.0,619.5079625409844,1199986.923441887,0.012302434704676556
Labuan,0.013491103,0.012,0.008233728,0.012,0.061174702,0,0.0,1186.60512787688,121033.72304344177,0.012486244568721307
PulauPinang,0.012843989,0.012,0.006022614,0.012,0.08434515,0,0.0,1765.7507326913458,2189530.9085372686,0.012091995028500255
KualaLumpur,0.012,0.012,0.0,0.012,0.012,0,0.0,7814.70205078125,2500704.65625,0.012000000104308128
Putrajaya,0.012,0.012,0.0,0.012,0.012,0,0.0,1608.9591649015185,114236.10070800781,0.012000000104308128
