admin_zone,mean_friction,median_friction,high_friction_pct,very_high_friction_pct,mean_rainfall,max_rainfall,mean_anomaly_rf,mean_anomaly_1mo,mean_anomaly_3mo,combined_mobility_barrier
Johor,0.024374408647418022,0.012000000104308128,0.0,0.0,72.76573267701148,483.49567,106.96358338960728,106.30297214846743,105.97381125766285,0.0
Kedah,0.027959994971752167,0.012000000104308128,0.0,0.0,77.68215409487983,523.6429,103.12507116736327,103.20807710971788,102.88931426332289,0.0
Kelantan,0.03927188366651535,0.04077574610710144,0.0,0.0,94.50725101214559,835.2,108.45357357111111,107.52764759022989,108.14333280306512,0.0
KualaLumpur,0.012000001035630703,0.012000000104308128,0.0,0.0,,,,,,0.0
Labuan,0.013145559467375278,0.012000000104308128,0.0,0.0,104.87318019655173,921.4762,108.70642670963328,107.33064510946907,107.6895150771757,0.0
Melaka,0.015021922066807747,0.012000000104308128,0.0,0.0,79.47679876398468,264.44446,109.07456409961686,108.97117633716475,108.53522416091954,0.0
NegeriSembilan,0.026205020025372505,0.012000000104308128,0.0,0.0,92.8183908045977,308.2,104.19941054022988,104.49291467049808,103.05795133716475,0.0
Pahang,0.03715859726071358,0.038217805325984955,0.0,0.0,58.433809254789274,174.77272,103.84651140229884,103.3728978237548,102.3502832120051,0.0
Perak,0.03888974338769913,0.03767649829387665,0.0,0.0,63.70448834745484,266.64444,105.38679863546798,104.97481561959496,104.29118900711549,0.0
Perlis,0.015714384615421295,0.012000000104308128,0.0,0.0,84.00837638030652,584.39624,109.38292508183908,108.72455353716475,108.388686843295,0.0
PulauPinang,0.012972400523722172,0.012000000104308128,0.0,0.0,83.00617238229886,421.0853,104.9393434295019,104.73106191685824,104.31722563256704,0.0
Putrajaya,0.012000001035630703,0.012000000104308128,0.0,0.0,,,,,,0.0
Sabah,0.038478974252939224,0.03889130800962448,0.0,0.0,66.58535533908045,337.1111,105.39704702681992,105.84956173371647,105.285584045977,0.0
Sarawak,0.037125781178474426,0.03810203820466995,0.0,0.0,72.9943085375479,301.16666,100.38620850996168,100.54759231417626,99.88286072260537,0.0
Selangor,0.022858312353491783,0.012000000104308128,0.0,0.0,82.1562747718565,606.5806,107.21274455966562,107.36357540106235,106.04728857088122,0.0
Trengganu,0.03761439397931099,0.03939592465758324,0.0,0.0,107.87598145416489,438.125,103.7768599627643,103.7181251045835,103.55920642379736,0.0
