admin_zone,n_pixels,mean_friction,median_friction,std_friction,min_friction,max_friction,p25_friction,p75_friction,p90_friction,high_friction_pct,very_high_friction_pct,low_friction_pct,area_km2,disparity_score,accessibility_deficit
Johor,22381,0.024374408647418022,0.012000000104308128,0.01633552648127079,0.012000000104308128,0.12289410829544067,0.012000000104308128,0.037868108600378036,0.04400164633989334,0.0,0.0,100.0,1.5539790999999986e-06,0.6701917046509028,0.0
Kedah,11197,0.027959994971752167,0.012000000104308128,0.02201802097260952,0.012000000104308128,0.12289410829544067,0.012000000104308128,0.045267630368471146,0.05999999865889549,0.0,0.0,100.0,7.772886599999999e-07,0.7874830090225055,0.0
Kelantan,17771,0.03927188366651535,0.04077574610710144,0.025872332975268364,0.012000000104308128,0.12289410829544067,0.012000000104308128,0.05468829348683357,0.07346255332231522,0.0,0.0,100.0,1.2343570850000018e-06,0.6588004078176689,0.0
KualaLumpur,322,0.012000001035630703,0.012000000104308128,9.313225746154785e-10,0.012000000104308128,0.012000000104308128,0.012000000104308128,0.012000000104308128,0.012000000104308128,0.0,0.0,100.0,2.2144579999999768e-08,7.761020785333036e-08,0.0
Labuan,106,0.013145559467375278,0.012000000104308128,0.006770792882889509,0.012000000104308128,0.05999999865889549,0.012000000104308128,0.012000000104308128,0.012000000104308128,0.0,0.0,100.0,7.3967000000000855e-09,0.515063120720978,0.0
Melaka,1940,0.015021922066807747,0.012000000104308128,0.008698641322553158,0.012000000104308128,0.07060606777667999,0.012000000104308128,0.012000000104308128,0.019603848457336426,0.0,0.0,100.0,1.344863200000004e-07,0.5790631374512033,0.0
NegeriSembilan,7809,0.026205020025372505,0.012000000104308128,0.0211255494505167,0.012000000104308128,0.12289410829544067,0.012000000104308128,0.03839294612407684,0.05999999865889549,0.0,0.0,100.0,5.422389750000012e-07,0.8061642170111794,0.0
Pahang,42031,0.03715859726071358,0.038217805325984955,0.020657971501350403,0.012000000104308128,0.12289410829544067,0.012000000104308128,0.04695756733417511,0.06257886439561844,0.0,0.0,100.0,2.918742175000003e-06,0.5559405635365929,0.0
Perak,24555,0.03888974338769913,0.03767649829387665,0.026799624785780907,0.012000000104308128,0.12289410829544067,0.012000000104308128,0.059035710990428925,0.07514546811580658,0.0,0.0,100.0,1.7047110699999988e-06,0.6891180669054674,0.0
Perlis,967,0.015714384615421295,0.012000000104308128,0.011970519088208675,0.012000000104308128,0.08774406462907791,0.012000000104308128,0.012000000104308128,0.01943831518292427,0.0,0.0,100.0,6.735823000000037e-08,0.7617555113460452,0.0
PulauPinang,1237,0.012972400523722172,0.012000000104308128,0.006525514647364616,0.012000000104308128,0.08434514701366425,0.012000000104308128,0.012000000104308128,0.012000000104308128,0.0,0.0,100.0,8.603343999999921e-08,0.5030306176124949,0.0
Putrajaya,73,0.012000001035630703,0.012000000104308128,9.313225746154785e-10,0.012000000104308128,0.012000000104308128,0.012000000104308128,0.012000000104308128,0.012000000104308128,0.0,0.0,100.0,5.021069999999615e-09,7.761020785333036e-08,0.0
Sabah,86810,0.038478974252939224,0.03889130800962448,0.023193757981061935,0.012000000104308128,0.12289410829544067,0.012000000104308128,0.05223449319601059,0.06768567115068436,0.0,0.0,100.0,6.030245934999977e-06,0.6027644559493495,0.0
Sarawak,144892,0.037125781178474426,0.03810203820466995,0.02235160395503044,0.012000000104308128,0.12289410829544067,0.012000000104308128,0.04896218702197075,0.06537570059299469,0.0,0.0,100.0,1.006900481999998e-05,0.6020507379381401,0.0
Selangor,9158,0.022858312353491783,0.012000000104308128,0.018924573436379433,0.012000000104308128,0.12289410829544067,0.012000000104308128,0.03700000047683716,0.04947572201490402,0.0,0.0,100.0,6.36734964999999e-07,0.8279077275575227,0.0
Trengganu,15149,0.03761439397931099,0.03939592465758324,0.021968867629766464,0.012000000104308128,0.12289410829544067,0.012000000104308128,0.05145769566297531,0.06535609811544418,0.0,0.0,100.0,1.0508450849999965e-06,0.5840548073657649,0.0
