admin_zone,total_pois,poi_density_per_km2,mean_friction,median_friction,std_friction,min_friction,max_friction,effective_accessibility,accessibility_score
KualaLumpur,139,6276930969.1130495,0.012000000104308128,0.012000000104308128,0.0,0.012000000104308128,0.012000000104308128,523077576212.6506,523077596722.48175
Putrajaya,5,995803683.27874,0.012000000104308128,0.012000000104308128,0.0,0.012000000104308128,0.012000000104308128,82983639551.90599,82983642805.68806
PulauPinang,62,720650017.0166457,0.012000000104308128,0.012000000104308128,0.0,0.012000000104308128,0.012000000104308128,60054167562.708984,60054169917.42824
Selangor,310,486858767.0538879,0.012000000104308128,0.012000000104308128,0.0,0.012000000104308128,0.012000000104308128,40571563568.49534,40571565159.3032
Labuan,2,270390849.97363377,0.012000000104308128,0.012000000104308128,0.0,0.012000000104308128,0.012000000104308128,22532570635.27529,22532571518.77564
Perlis,13,192997945.4626395,0.012000000104308128,0.012000000104308128,0.0,0.012000000104308128,0.012000000104308128,16083161982.086248,16083162612.705782
Melaka,24,178456812.5590761,0.011999999172985554,0.012000000104308128,0.0,0.012000000104308128,0.012000000104308128,14871402071.495037,14871401500.428818
Johor,162,104248506.30230494,0.012000000104308128,0.012000000104308128,0.0,0.012000000104308128,0.012000000104308128,8687375449.678423,8687375790.30974
Trengganu,102,97064735.28398369,0.01229775045067072,0.012000000104308128,0.0030071339569985867,0.012000000104308128,0.04237056523561478,7892885424.316752,7892885095.110874
NegeriSembilan,49,90366060.4625477,0.012000000104308128,0.012000000104308128,0.0,0.012000000104308128,0.012000000104308128,7530504973.087902,7530505268.3584175
Kedah,54,69472260.15107438,0.012000000104308128,0.012000000104308128,0.0,0.012000000104308128,0.012000000104308128,5789354962.266466,5789355189.266625
Perak,117,68633331.51230143,0.012000000104308128,0.012000000104308128,0.0,0.012000000104308128,0.012000000104308128,5719444242.976409,5719444467.2353735
Kelantan,79,64000928.8722152,0.012607594951987267,0.012000000104308128,0.005400421563535929,0.012000000104308128,0.05999999865889549,5076378890.339198,5076378851.388025
Sabah,237,39301879.650452584,0.01401500590145588,0.012000000104308128,0.008991342037916183,0.012000000104308128,0.08480788767337799,2804271359.34134,2804271211.865397
Pahang,81,27751680.396367975,0.012787453830242157,0.012000000104308128,0.005087955854833126,0.012000000104308128,0.05048837512731552,2170227221.5236173,2170227267.393115
Sarawak,218,21650600.421502277,0.012910855002701283,0.012000000104308128,0.005526967346668243,0.012000000104308128,0.06676221638917923,1676930026.475583,1676929951.2887845
