,nodes,edges,avg_degree,components
Rapid Bus Penang,1925.0,1058.0,1.0992207792207793,1.0
Rapid Bus KL,3698.0,1396.0,0.7550027041644132,1.0
Monorail,167.0,24.0,0.2874251497005988,1.0
MRT Putrajaya,167.0,94.0,1.125748502994012,1.0
MRT Kajang,167.0,72.0,0.8622754491017964,1.0
LRT Kelana Jaya,167.0,96.0,1.1497005988023952,1.0
LRT Ampang,167.0,40.0,0.47904191616766467,1.0
ETS,191.0,130.0,1.361256544502618,1.0
Intercity,191.0,302.0,3.162303664921466,1.0
Komuter,191.0,234.0,2.450261780104712,1.0
Komuter Utara,191.0,66.0,0.6910994764397905,1.0
Komuter Terbau,191.0,2.0,0.020942408376963352,1.0
