,bus_rkl,bus_rpn,rail_lrt_ampang,rail_mrt_kajang,rail_lrt_kj,rail_monorail,rail_mrt_pjy,rail_ets,rail_intercity,rail_komuter_utara,rail_tebrau,rail_komuter,total_ridership,ridership_lag_7,ridership_lag_14,ridership_lag_28,year,day_of_year,fp_lv_ron95,fp_lv_ron97,fp_lv_diesel,fp_lv_diesel_eastmsia,fp_lv_ron95_budi95,fp_lv_ron95_skps,fp_lv_ron95_pct_chg,fp_lv_ron97_pct_chg,fp_lv_diesel_pct_chg,fp_chg_ron95,fp_chg_ron97,fp_chg_diesel,fp_chg_diesel_eastmsia,fp_chg_ron95_budi95,fp_chg_ron95_skps,is_public_holiday,is_school_holiday,is_holiday_any,days_to_next_public_hol,days_since_last_public_hol,days_to_next_school_hol,days_since_last_school_hol,day_of_week,month,is_weekend,dow_sin,dow_cos,month_sin,month_cos,rainfall_mm__MY01,rainfall_mm__MY02,rainfall_mm__MY03,rainfall_mm__MY04,rainfall_mm__MY05,rainfall_mm__MY06,rainfall_mm__MY07,rainfall_mm__MY08,rainfall_mm__MY09,rainfall_mm__MY10,rainfall_mm__MY11,rainfall_mm__MY12,rainfall_mm__MY13,rainfall_mm__MY15,rainfall_mm__MY17,pop_density_median,pop_density_log_median,gtfs_n_stops,gtfs_n_routes,gtfs_n_directed_edges,gtfs_avg_segment_s,osm_poi_total_mean,osm_poi_transport_mean,osm_poi_food_mean,osm_poi_retail_mean,osm_poi_education_mean,osm_poi_healthcare_mean,osm_poi_leisure_mean,osm_poi_other_mean,gadm_n_states,gadm_n_border_pairs,gadm_mean_border_km
bus_rkl,1.0,0.7859026321753213,0.9163636169085577,0.9494736171048211,0.9428032227438742,0.8117492712940523,0.8732619803396822,0.08411703306763914,-0.1561490375237615,0.37595337284485814,0.36390644202939604,0.49596144436836404,0.9700900398813624,0.8681091873675415,0.8665342068741044,0.8557272886501881,0.6540547876474307,0.18019435768800074,0.17358347620832645,-0.4001535237975903,0.5113876395896061,,,,0.031434582697303405,-0.048957605403386804,0.015919167717516083,0.06999062564813889,-0.11191007186535848,0.01355984733681635,,,,-0.21161936409570842,-0.06671352440651572,-0.14686998382791877,-0.014540036196378387,0.03363324178578891,-0.17167978535630457,-0.09266641753487614,-0.4190288921386766,0.18070145884987981,-0.5481715610534382,0.4584747095207123,-0.14419420919791692,-0.1605200031189534,-0.010208264954063066,-0.060362632273741126,0.02250190930478101,0.03714354687672895,-0.08601104809242449,0.05161579895894448,-0.08783136913688419,-0.0798060259730208,-0.014454763898070785,0.00607911685216621,-0.011180464516530486,0.019007685996953155,-0.0782067491777792,-0.023228042085051553,0.03239262383549657,-0.016731584433898595,,,,,,,,,,,,,,,,,
bus_rpn,0.7859026321753213,1.0,0.7659198940614446,0.8650983864375754,0.6873733090291912,0.8872892066218236,0.8155200452420625,0.4249412082685891,0.1769781814855971,0.7077554677173901,0.25460070997474404,0.19182793544978521,0.8543213102082966,0.8142374481714713,0.8111577536387757,0.8175834634471226,0.8557237614472794,0.24233148287436557,0.2877018136153781,-0.4969423682826325,0.6733633194490859,,,,0.035620434530898415,-0.057525135209017905,0.01711763236713335,0.11023711777906825,-0.15663992967837342,0.028411756597939923,,,,-0.025015281090904482,0.04385909250755492,0.014614425647163545,-0.11394480458430539,-0.06343408752428857,-0.2863172499758503,-0.15700388485711422,-0.07637718545634076,0.24627862942580123,-0.1553945625045456,0.10976748015014093,-0.043310473566153335,-0.22178339852879475,0.046794343793945294,0.0011331987373268805,-0.030773648524042865,0.08244861709089689,-0.08363727354460829,0.14933633389931095,-0.1270612782287286,-0.07972108617952743,0.040955140475811086,0.02363027720354651,-0.09598697813242515,-0.027156840003469223,-0.02131704489980656,0.04604429716389937,0.0711950100029724,-0.016735232588401587,,,,,,,,,,,,,,,,,
rail_lrt_ampang,0.9163636169085577,0.7659198940614446,1.0,0.9486076348582273,0.9696041774731513,0.8186188372706058,0.8087464688388651,0.6711603797152472,0.43707077932205896,0.7151719332145682,0.31756560195322514,0.4031165400533629,0.8784438712576371,0.8254112743919594,0.8173580588812961,0.7917251721639937,0.3454707756105709,0.0813831194002062,0.4702451322349445,0.30879051369677635,0.5573347031564247,0.42353719105911514,,,0.020344258266837507,-0.02980010244804999,0.012630523262962974,0.0640254098700704,-0.07822761249849157,0.00878956220930761,-0.009477039509047918,,,-0.15258210261520017,-0.01855423990342367,-0.07580301753623293,0.0312533630856111,0.004321813857070774,-0.027497069094754654,0.04883892175054057,-0.281456830192451,0.08168350877326054,-0.37924779870052144,0.2930790533593703,-0.13042974787058598,-0.08122886279229294,0.07535894166246478,-0.04091970286915446,-0.05023191749173512,0.03330075443454529,-0.06418536854301685,-0.018934618408553285,-0.09298893584156875,-0.053513951912159664,-0.004860040220041203,-0.06341421043817375,-0.09871452485888785,-0.06761941542188499,-0.00405415724604869,-0.0013064362372673763,0.040681713184298106,-0.05068135667381741,,,,,,,,,,,,,,,,,
rail_mrt_kajang,0.9494736171048211,0.8650983864375754,0.9486076348582273,1.0,0.9107297195029266,0.9349023352679523,0.9272735387598382,0.7174432831434566,0.4911923554274509,0.7791973003862434,0.39287684308753895,0.4319761540064146,0.9743760073746279,0.9338506072238901,0.9266651710940903,0.9074631717501753,0.57492038486394,0.10401120780159177,0.49726062443518987,0.39645841155940054,0.6679366270290972,0.42430834803612033,,,0.021549161970793918,-0.03182190393162128,0.01332102993014947,0.06868472908610941,-0.08206091197174929,0.0065203437555187245,-0.012206640142495914,,,-0.10379351300163368,0.0022035847333293705,-0.043088719077430025,0.0014756924269793475,-0.01589626430589213,-0.05086076691345958,-0.004557999594712043,-0.2336437899267541,0.1040725833682712,-0.31836364206682555,0.2544636155390384,-0.11209699746139626,-0.09115054602121571,0.07260188750715942,-0.001643562763316006,-0.043763525343800055,0.06266120920866095,-0.050568347576365746,-0.01449903183502894,-0.06830569482097992,-0.034724526592473916,0.0304689950102954,-0.04719548730379654,-0.10409748066384035,-0.06303458743802308,0.01796648076975117,0.03496025692193326,0.07575693728475442,-0.03483049973174721,,,,,,,,,,,,,,,,,
rail_lrt_kj,0.9428032227438742,0.6873733090291912,0.9696041774731513,0.9107297195029266,1.0,0.7584724785951787,0.7626818724832484,0.6288473361100453,0.3693529197271355,0.6382750146795146,0.386209352726711,0.5017660542380838,0.8290695788628846,0.7729667574702108,0.7654216532872684,0.7411159776999059,0.23792621704607203,0.04428232042849868,0.41489166917288495,0.24946129005218537,0.4422513561233356,0.39957207027314084,,,0.01693067792076934,-0.027077460899232745,0.009767223909384731,0.04187573022882751,-0.07160986009957448,0.003127703386899607,-0.025755980761596443,,,-0.15914634427856553,-0.0255881645067683,-0.08510205844202424,0.055716749935047806,0.013187218347174862,-0.029716568318869662,0.04241007952119872,-0.3519545438561478,0.044600602345809454,-0.4672584098511189,0.3805545007581575,-0.13787600332164215,-0.05266984833149631,0.06738278576778202,-0.06127038762594699,-0.09173469672515455,-0.007995044198879649,-0.08446029302744962,-0.0701883145625689,-0.12281155770855035,-0.08560693523582766,-0.04078033834891091,-0.10379737691450515,-0.13224678286820557,-0.09614709350748353,-0.0599356149709496,-0.03531697528589095,0.0072452140246647406,-0.08016264024434776,,,,,,,,,,,,,,,,,
rail_monorail,0.8117492712940523,0.8872892066218236,0.8186188372706058,0.9349023352679523,0.7584724785951787,1.0,0.8333357773418774,0.8331327121634621,0.6441592555973668,0.8569149083147506,0.4886395220005219,0.3933545570719932,0.9504281953832745,0.929885235726106,0.9179435148369356,0.9036920401531268,0.6979490231951022,0.11506557912665333,0.5022650423576696,0.4926451940888573,0.6642924649249187,0.43573208615617226,,,0.01291773570671388,-0.03548921669971816,0.014244335932300314,0.06519582972850005,-0.09465005410127911,0.007753043430622835,-0.0038218184836474826,,,-0.011223304173447695,0.07447728116601063,0.05481048563363857,-0.03844308869373791,-0.04611254656851178,-0.09713475388911282,-0.05579615202980733,-0.08646658831503676,0.11549127262101307,-0.13519569752471605,0.09039331098111733,-0.06948291177645019,-0.07845675601766146,0.10972805838548144,0.05519269094851705,-0.06283989234532664,0.09118871264018885,-0.020774063751125376,-0.01906053245439804,-0.03690379468348078,-0.0034183823206484845,0.07325819224707164,-0.037403360682755855,-0.135634355273882,-0.07769707468138275,0.04951025372522152,0.07985904774540745,0.11199857376463632,-0.009334829066665709,,,,,,,,,,,,,,,,,
rail_mrt_pjy,0.8732619803396822,0.8155200452420625,0.8087464688388651,0.9272735387598382,0.7626818724832484,0.8333357773418774,1.0,-0.08005912723531665,-0.2220309367907941,0.4167961703343141,0.37046417232234913,0.4188340290800037,0.9357682455237172,0.8619105880252755,0.8616820865690392,0.8526906965405194,0.7845347719401919,0.04013309398992597,0.25430671160591417,-0.6093006447919347,0.6180171279633812,,,,0.038929570355294305,0.07789802483080649,0.014409757033699688,0.09148880964187446,0.26092346977319664,0.018908698116400804,,,,-0.12915705410188044,-0.08330171308923778,-0.13510164935812208,0.09157887544312807,0.1968775215180049,0.058724549020276504,0.10406041503231545,-0.2916943569713257,0.0389869393970889,-0.37629017036763196,0.31415451228027425,-0.10441742232855201,0.012175459879084064,-0.037629165841593655,-0.09372470880428962,0.01666971331721715,-0.03143408960221533,-0.07241897454455751,0.05512250017495542,-0.1444930515178684,-0.10535205392273082,-0.06050537084298432,-0.007834594347034297,-0.0031703007857553558,-0.0005351497060787472,-0.005912547670072065,0.02936067868519679,-0.019966929864487587,-0.02689603921901927,,,,,,,,,,,,,,,,,
rail_ets,0.08411703306763914,0.4249412082685891,0.6711603797152472,0.7174432831434566,0.6288473361100453,0.8331327121634621,-0.08005912723531665,1.0,0.8543658297625865,0.8895045742385187,0.27088451141443337,-0.07713479363453529,0.7382397235737405,0.7523661722813784,0.7484941465239054,0.7380835067889213,0.7560283813178607,0.05536694983245547,0.34504412532171,0.610887875221914,0.43606981590141214,0.35749105421585964,,,-0.026237141972260798,-0.08957070356670542,-0.006610773956513743,-0.027891245924051882,-0.17325384829649015,-0.05408760889973066,-0.26069942396353385,,,0.07241668818178967,0.16578361922957996,0.17385488278060138,-0.07943534429074144,-0.048113293501213725,-0.0943561739278724,-0.07541699894606195,0.14275289879407,0.05408386719353278,0.11701710450777389,-0.18227137239547495,-0.03002768783678604,-0.019709517437185037,-0.01156193788436387,0.04690997396311813,0.0030957365823722147,0.07669142881274654,0.0008499298084736409,-0.040707612214301477,-0.0057086717426960065,0.005784057550030541,0.0505333182690814,0.011598911882629091,-0.07505669926372913,-0.0028136989501898707,-0.018055863240197718,0.061925651798838945,0.06857723484082905,-0.015802641792695395,,,,,,,,,,,,,,,,,
rail_intercity,-0.1561490375237615,0.1769781814855971,0.43707077932205896,0.4911923554274509,0.3693529197271355,0.6441592555973668,-0.2220309367907941,0.8543658297625865,1.0,0.8209138152747135,0.15453623794043156,-0.15598072557936224,0.49756527388335203,0.5300159580957755,0.5245195819350452,0.5176513203187633,0.57052534216843,0.12097327704744697,0.2458346061999721,0.4723940722861057,0.3360735286898175,0.25664636952666675,,,-0.017352650525964155,-0.07383661349531463,-0.020300836562281807,-0.03144736374183842,-0.16589880185807757,-0.06985225155779902,-0.22576030640873887,,,0.16562027997969858,0.3183216340407736,0.3509389973799744,-0.08437641923066473,-0.1467897899022595,-0.13117722924108752,-0.17263220704361487,0.31979346996920477,0.11852862479805626,0.26914753114549633,-0.33603576542486685,-0.15048444323135177,-0.1267056170871407,0.01273884118054262,0.025647248337784652,0.03015963674614437,0.07357047600043211,0.004664049004595502,0.007587519888442046,-0.001836591863321435,0.0024885396135045706,0.03869703495923504,0.016804459241919787,-0.025376752189840847,0.03193268014384701,-0.020026578201982292,0.04747740366486916,0.053848224955375334,-0.006100498384838009,,,,,,,,,,,,,,,,,
rail_komuter_utara,0.37595337284485814,0.7077554677173901,0.7151719332145682,0.7791973003862434,0.6382750146795146,0.8569149083147506,0.4167961703343141,0.8895045742385187,0.8209138152747135,1.0,0.2155250839591065,-0.050640170174981305,0.7826844504752525,0.7936917482267485,0.7923588281230786,0.7862177906770735,0.8534581369102874,0.10946741046253436,0.36958613161218984,0.36558913359692147,0.6248056208254693,0.2802917502946971,,,-0.01807033569684645,-0.0833464101829168,-0.007968298822504273,0.01032971618914097,-0.17187161351628866,-0.057870886176279744,-0.21966462981961746,,,0.04081035967307218,0.14901060901900082,0.14591746981843207,-0.06692671695180569,-0.042361164768465256,-0.10311979375657067,-0.10411746134779966,0.1780587290435463,0.10956212256318482,0.11489753984221796,-0.19534251460340668,-0.07729445602598116,-0.07607621050076296,0.0285017670106293,0.025371633341871307,0.030857001536426582,0.08547268239305346,-0.007631743013697678,0.018120291783180004,-0.04795685534063721,-0.014662824655830882,0.04680343230961465,0.03428447115270321,-0.05731880805952186,0.021069338476109097,-0.0005404373053138635,0.08376789833012281,0.07391219220119409,4.930737090939124e-05,,,,,,,,,,,,,,,,,
