feature_1,feature_2,correlation
month,week_of_year,0.9707648458482316
total_ridership,bus_rkl,0.9688911633221993
total_ridership,rail_mrt_kajang,0.9503606358609525
bus_rkl,rail_mrt_kajang,0.948280316314042
bus_rkl,rail_lrt_kj,0.9453020142881379
rail_lrt_ampang,rail_lrt_kj,0.9355682969854028
bus_rkl,rail_lrt_ampang,0.9158720989073095
rail_lrt_ampang,rail_mrt_kajang,0.8932955266930909
total_ridership,rail_monorail,0.8882844552704223
bus_rpn,rail_monorail,0.8808823020405202
bus_rpn,rail_mrt_kajang,0.8610733581285896
total_ridership,bus_rpn,0.8506265415025995
rail_mrt_kajang,rail_monorail,0.8489003698116736
year,bus_rpn,0.8455835674320514
rail_mrt_kajang,rail_lrt_kj,0.8137277232030788
bus_rkl,rail_monorail,0.8060479844965731
day_of_week,is_weekend,0.7909465237672567
bus_rkl,bus_rpn,0.776673167592458
bus_rpn,rail_lrt_ampang,0.7689965933238176
total_ridership,rail_lrt_ampang,0.7602580412366935
rainfall_mm,rainfall_anomaly,0.7442032307969106
