date,total_ridership,service_frequency,is_holiday,ridership_per_service
2019-01-01,402968,6,1,67161.33333333333
2019-01-02,658114,6,0,109685.66666666667
2019-01-03,681570,6,0,113595.0
2019-01-04,725187,6,0,120864.5
2019-01-05,408419,6,0,68069.83333333333
2019-01-06,342432,6,0,57072.0
2019-01-07,715212,6,0,119202.0
2019-01-08,719271,6,0,119878.5
2019-01-09,725458,6,0,120909.66666666667
2019-01-10,731261,6,0,121876.83333333333
2019-01-11,773973,6,0,128995.5
2019-01-12,431931,6,0,71988.5
2019-01-13,370104,6,0,61684.0
2019-01-14,729825,6,0,121637.5
2019-01-15,722287,6,0,120381.16666666667
2019-01-16,736489,6,0,122748.16666666667
2019-01-17,742138,6,0,123689.66666666667
2019-01-18,796281,6,0,132713.5
2019-01-19,445597,6,0,74266.16666666667
2019-01-20,368258,6,0,61376.333333333336
2019-01-21,358450,6,1,59741.666666666664
2019-01-22,721713,6,0,120285.5
2019-01-23,731232,6,0,121872.0
2019-01-24,738099,6,0,123016.5
2019-01-25,795136,6,0,132522.66666666666
2019-01-26,465518,6,0,77586.33333333333
2019-01-27,378959,6,0,63159.833333333336
2019-01-28,739143,6,0,123190.5
2019-01-29,749451,6,0,124908.5
2019-01-30,756930,6,0,126155.0
2019-01-31,786566,6,0,131094.33333333334
2019-02-01,469491,6,1,78248.5
2019-02-02,385001,6,0,64166.833333333336
2019-02-03,347308,6,0,57884.666666666664
2019-02-04,496773,6,0,82795.5
2019-02-05,376804,6,1,62800.666666666664
2019-02-06,333729,6,1,55621.5
2019-02-07,552761,6,0,92126.83333333333
2019-02-08,584101,6,0,97350.16666666667
2019-02-09,375785,6,0,62630.833333333336
2019-02-10,332385,6,0,55397.5
2019-02-11,717696,6,0,119616.0
2019-02-12,727503,6,0,121250.5
2019-02-13,722933,6,0,120488.83333333333
2019-02-14,746498,6,0,124416.33333333333
2019-02-15,776878,6,0,129479.66666666667
2019-02-16,454619,6,0,75769.83333333333
2019-02-17,368979,6,0,61496.5
2019-02-18,699999,6,0,116666.5
2019-02-19,662501,6,0,110416.83333333333
2019-02-20,739742,6,0,123290.33333333333
2019-02-21,742936,6,0,123822.66666666667
2019-02-22,788763,6,0,131460.5
2019-02-23,434610,6,0,72435.0
2019-02-24,361035,6,0,60172.5
2019-02-25,730723,6,0,121787.16666666667
2019-02-26,735024,6,0,122504.0
2019-02-27,739772,6,0,123295.33333333333
2019-02-28,749755,6,0,124959.16666666667
2019-03-01,806263,6,0,134377.16666666666
2019-03-02,464142,6,0,77357.0
2019-03-03,386135,6,0,64355.833333333336
2019-03-04,730491,6,0,121748.5
2019-03-05,741906,6,0,123651.0
2019-03-06,755978,6,0,125996.33333333333
2019-03-07,758524,6,0,126420.66666666667
2019-03-08,827333,6,0,137888.83333333334
2019-03-09,452355,6,0,75392.5
2019-03-10,369258,6,0,61543.0
2019-03-11,737428,6,0,122904.66666666667
2019-03-12,747534,6,0,124589.0
2019-03-13,745208,6,0,124201.33333333333
2019-03-14,745216,6,0,124202.66666666667
2019-03-15,815207,6,0,135867.83333333334
2019-03-16,487703,6,0,81283.83333333333
2019-03-17,390719,6,0,65119.833333333336
2019-03-18,723295,6,0,120549.16666666667
2019-03-19,732209,6,0,122034.83333333333
2019-03-20,739994,6,0,123332.33333333333
2019-03-21,753705,6,0,125617.5
