date,total_ridership,fuel_ron95,rainfall_mm,modal_shift_signal
2019-01-01,402968,2.2,78.83147007482994,0
2019-01-02,658114,2.2,78.83147007482994,0
2019-01-03,681570,2.2,78.83147007482994,0
2019-01-04,725187,2.2,78.83147007482994,0
2019-01-05,408419,1.93,78.83147007482994,0
2019-01-06,342432,1.93,78.83147007482994,0
2019-01-07,715212,1.93,78.83147007482994,0
2019-01-08,719271,1.93,78.83147007482994,0
2019-01-09,725458,1.93,78.83147007482994,0
2019-01-10,731261,1.93,78.83147007482994,0
2019-01-11,773973,1.93,72.0533995707483,0
2019-01-12,431931,1.92,72.0533995707483,0
2019-01-13,370104,1.92,72.0533995707483,0
2019-01-14,729825,1.92,72.0533995707483,0
2019-01-15,722287,1.92,72.0533995707483,0
2019-01-16,736489,1.92,72.0533995707483,0
2019-01-17,742138,1.92,72.0533995707483,0
2019-01-18,796281,1.92,72.0533995707483,0
2019-01-19,445597,1.98,72.0533995707483,0
2019-01-20,368258,1.98,72.0533995707483,0
2019-01-21,358450,1.98,73.43778799455782,0
2019-01-22,721713,1.98,73.43778799455782,0
2019-01-23,731232,1.98,73.43778799455782,0
2019-01-24,738099,1.98,73.43778799455782,0
2019-01-25,795136,1.98,73.43778799455782,0
2019-01-26,465518,1.98,73.43778799455782,0
2019-01-27,378959,1.98,73.43778799455782,0
2019-01-28,739143,1.98,73.43778799455782,0
2019-01-29,749451,1.98,73.43778799455782,0
2019-01-30,756930,1.98,73.43778799455782,0
2019-01-31,786566,1.98,73.43778799455782,0
2019-02-01,469491,1.98,44.19100641496599,0
2019-02-02,385001,1.93,44.19100641496599,0
2019-02-03,347308,1.93,44.19100641496599,0
2019-02-04,496773,1.93,44.19100641496599,0
2019-02-05,376804,1.93,44.19100641496599,0
2019-02-06,333729,1.93,44.19100641496599,0
2019-02-07,552761,1.93,44.19100641496599,0
2019-02-08,584101,1.93,44.19100641496599,0
2019-02-09,375785,1.97,44.19100641496599,0
2019-02-10,332385,1.97,44.19100641496599,0
2019-02-11,717696,1.97,72.22852411768707,0
2019-02-12,727503,1.97,72.22852411768707,0
2019-02-13,722933,1.97,72.22852411768707,0
2019-02-14,746498,1.97,72.22852411768707,0
2019-02-15,776878,1.97,72.22852411768707,0
2019-02-16,454619,1.98,72.22852411768707,0
2019-02-17,368979,1.98,72.22852411768707,0
2019-02-18,699999,1.98,72.22852411768707,0
2019-02-19,662501,1.98,72.22852411768707,0
2019-02-20,739742,1.98,72.22852411768707,0
2019-02-21,742936,1.98,18.002276176870748,0
2019-02-22,788763,1.98,18.002276176870748,0
2019-02-23,434610,2.08,18.002276176870748,0
2019-02-24,361035,2.08,18.002276176870748,0
2019-02-25,730723,2.08,18.002276176870748,0
2019-02-26,735024,2.08,18.002276176870748,0
2019-02-27,739772,2.08,18.002276176870748,0
2019-02-28,749755,2.08,18.002276176870748,0
2019-03-01,806263,2.08,26.54030949455782,0
2019-03-02,464142,2.08,26.54030949455782,0
2019-03-03,386135,2.08,26.54030949455782,0
2019-03-04,730491,2.08,26.54030949455782,0
2019-03-05,741906,2.08,26.54030949455782,0
2019-03-06,755978,2.08,26.54030949455782,0
2019-03-07,758524,2.08,26.54030949455782,0
2019-03-08,827333,2.08,26.54030949455782,0
2019-03-09,452355,2.08,26.54030949455782,0
2019-03-10,369258,2.08,26.54030949455782,0
2019-03-11,737428,2.08,22.865804008843536,0
2019-03-12,747534,2.08,22.865804008843536,0
2019-03-13,745208,2.08,22.865804008843536,0
2019-03-14,745216,2.08,22.865804008843536,0
2019-03-15,815207,2.08,22.865804008843536,0
2019-03-16,487703,2.08,22.865804008843536,0
2019-03-17,390719,2.08,22.865804008843536,0
2019-03-18,723295,2.08,22.865804008843536,0
2019-03-19,732209,2.08,22.865804008843536,0
2019-03-20,739994,2.08,22.865804008843536,0
2019-03-21,753705,2.08,60.35915513605442,0
2019-03-22,799601,2.08,60.35915513605442,0
2019-03-23,435373,2.08,60.35915513605442,0
2019-03-24,355167,2.08,60.35915513605442,0
2019-03-25,716058,2.08,60.35915513605442,0
2019-03-26,729358,2.08,60.35915513605442,0
2019-03-27,741447,2.08,60.35915513605442,0
2019-03-28,742759,2.08,60.35915513605442,0
2019-03-29,860003,2.08,60.35915513605442,0
2019-03-30,478863,2.08,60.35915513605442,0
2019-03-31,388265,2.08,60.35915513605442,0
2019-04-01,734210,2.08,53.36985803061225,0
2019-04-02,755353,2.08,53.36985803061225,0
2019-04-03,766902,2.08,53.36985803061225,0
2019-04-04,770860,2.08,53.36985803061225,0
2019-04-05,824283,2.08,53.36985803061225,0
2019-04-06,497274,2.08,53.36985803061225,0
2019-04-07,410039,2.08,53.36985803061225,0
2019-04-08,742974,2.08,53.36985803061225,0
2019-04-09,748619,2.08,53.36985803061225,0
2019-04-10,749395,2.08,53.36985803061225,0
2019-04-11,748667,2.08,56.47231407006802,0
2019-04-12,794082,2.08,56.47231407006802,0
2019-04-13,476671,2.08,56.47231407006802,0
2019-04-14,387326,2.08,56.47231407006802,0
2019-04-15,732766,2.08,56.47231407006802,0
2019-04-16,737663,2.08,56.47231407006802,0
2019-04-17,738264,2.08,56.47231407006802,0
2019-04-18,743115,2.08,56.47231407006802,0
2019-04-19,783152,2.08,56.47231407006802,0
2019-04-20,430600,2.08,56.47231407006802,0
2019-04-21,364938,2.08,74.55990855782314,0
2019-04-22,721154,2.08,74.55990855782314,0
2019-04-23,722891,2.08,74.55990855782314,0
2019-04-24,747740,2.08,74.55990855782314,0
2019-04-25,746654,2.08,74.55990855782314,0
2019-04-26,799465,2.08,74.55990855782314,0
2019-04-27,484303,2.08,74.55990855782314,0
2019-04-28,381830,2.08,74.55990855782314,0
2019-04-29,739773,2.08,74.55990855782314,0
2019-04-30,774342,2.08,74.55990855782314,0
2019-05-01,460750,2.08,68.65264580272108,0
2019-05-02,782058,2.08,68.65264580272108,0
2019-05-03,835071,2.08,68.65264580272108,0
2019-05-04,477018,2.08,68.65264580272108,0
2019-05-05,382931,2.08,68.65264580272108,0
2019-05-06,701330,2.08,68.65264580272108,0
2019-05-07,729149,2.08,68.65264580272108,0
2019-05-08,732305,2.08,68.65264580272108,0
2019-05-09,733660,2.08,68.65264580272108,0
2019-05-10,777371,2.08,68.65264580272108,0
2019-05-11,387595,2.08,90.15884108843538,1
2019-05-12,326953,2.08,90.15884108843538,1
2019-05-13,716682,2.08,90.15884108843538,1
2019-05-14,729597,2.08,90.15884108843538,1
2019-05-15,735428,2.08,90.15884108843538,1
2019-05-16,740391,2.08,90.15884108843538,1
2019-05-17,792642,2.08,90.15884108843538,1
2019-05-18,402377,2.08,90.15884108843538,1
2019-05-19,343227,2.08,90.15884108843538,1
2019-05-20,326915,2.08,90.15884108843538,1
2019-05-21,643019,2.08,84.62488391156462,1
2019-05-22,349144,2.08,84.62488391156462,1
2019-05-23,732659,2.08,84.62488391156462,1
2019-05-24,789675,2.08,84.62488391156462,1
2019-05-25,444254,2.08,84.62488391156462,1
2019-05-26,377592,2.08,84.62488391156462,1
2019-05-27,747204,2.08,84.62488391156462,1
2019-05-28,758129,2.08,84.62488391156462,1
2019-05-29,767320,2.08,84.62488391156462,1
2019-05-30,768457,2.08,84.62488391156462,1
2019-05-31,804567,2.08,84.62488391156462,1
2019-06-01,453066,2.08,112.3663147755102,1
2019-06-02,379857,2.08,112.3663147755102,1
2019-06-03,630274,2.08,112.3663147755102,1
2019-06-04,567279,2.08,112.3663147755102,1
2019-06-05,385675,2.08,112.3663147755102,1
2019-06-06,375471,2.08,112.3663147755102,1
2019-06-07,488404,2.08,112.3663147755102,1
2019-06-08,342704,2.08,112.3663147755102,1
2019-06-09,330017,2.08,112.3663147755102,1
2019-06-10,659452,2.08,112.3663147755102,1
2019-06-11,716459,2.08,61.58910506802721,0
2019-06-12,732631,2.08,61.58910506802721,0
2019-06-13,736426,2.08,61.58910506802721,0
2019-06-14,778023,2.08,61.58910506802721,0
2019-06-15,426127,2.08,61.58910506802721,0
2019-06-16,352516,2.08,61.58910506802721,0
2019-06-17,732007,2.08,61.58910506802721,0
2019-06-18,746097,2.08,61.58910506802721,0
2019-06-19,761927,2.08,61.58910506802721,0
2019-06-20,760502,2.08,61.58910506802721,0
2019-06-21,805120,2.08,65.47953117687074,0
2019-06-22,452438,2.08,65.47953117687074,0
2019-06-23,372364,2.08,65.47953117687074,0
2019-06-24,652439,2.08,65.47953117687074,0
2019-06-25,749568,2.08,65.47953117687074,0
2019-06-26,761086,2.08,65.47953117687074,0
2019-06-27,764947,2.08,65.47953117687074,0
2019-06-28,820225,2.08,65.47953117687074,0
2019-06-29,480880,2.08,65.47953117687074,0
2019-06-30,405494,2.08,65.47953117687074,0
2019-07-01,756323,2.08,41.2862131904762,0
2019-07-02,760673,2.08,41.2862131904762,0
2019-07-03,773167,2.08,41.2862131904762,0
2019-07-04,777166,2.08,41.2862131904762,0
2019-07-05,843762,2.08,41.2862131904762,0
2019-07-06,518302,2.08,41.2862131904762,0
2019-07-07,402065,2.08,41.2862131904762,0
2019-07-08,769466,2.08,41.2862131904762,0
2019-07-09,769342,2.08,41.2862131904762,0
2019-07-10,775488,2.08,41.2862131904762,0
2019-07-11,773467,2.08,51.85156675510204,0
2019-07-12,842211,2.08,51.85156675510204,0
2019-07-13,487027,2.08,51.85156675510204,0
2019-07-14,392389,2.08,51.85156675510204,0
2019-07-15,761819,2.08,51.85156675510204,0
2019-07-16,758707,2.08,51.85156675510204,0
2019-07-17,772461,2.08,51.85156675510204,0
2019-07-18,775798,2.08,51.85156675510204,0
