year,month,total_ridership,rainfall_mm,rainfall_anomaly,is_holiday,date,expected_ridership,mismatch
2019,1,627353.9354838709,74.73110852890059,87.42296041474656,2,2019-01-01,852213.4838709678,-224859.54838709685
2019,2,576932.2857142857,46.72191124076773,77.94283763945577,3,2019-02-01,844706.6767676767,-267774.39105339104
2019,3,650241.8387096775,37.35522069453587,49.48601356660083,10,2019-03-01,879585.1773399014,-229343.338630224
2019,4,668510.1666666666,61.46736021950114,81.65222875056689,0,2019-04-01,854279.42,-185769.2533333334
2019,5,622434.5161290322,81.25769651415405,103.66776793899496,10,2019-05-01,888150.4451612904,-265715.9290322581
2019,6,587315.8333333334,79.81165034013605,130.18658034013603,9,2019-06-01,903415.76,-316099.92666666664
2019,7,678596.7419354839,50.8100029361422,80.41415199780558,1,2019-07-01,958000.7677419354,-279404.02580645157
2019,8,658735.3870967742,56.49637285933728,76.38753811871845,11,2019-08-01,967344.3161290323,-308608.9290322581
2019,9,621053.9333333333,58.47311958049887,73.29529682766439,3,2019-09-01,934880.3133333334,-313826.38
2019,10,691262.3225806452,103.18595220057055,98.43376349374589,1,2019-10-01,985788.6387096774,-294526.3161290322
2019,11,697943.5666666667,99.93907848072561,87.34575812244898,10,2019-11-01,986604.4133333333,-288660.8466666667
2019,12,680889.1290322581,106.89677104862848,91.267803649221,31,2019-12-01,997550.8903225807,-316661.76129032264
2020,1,647675.8064516129,49.16119444790433,56.777451267061664,3,2020-01-01,852213.4838709678,-204537.6774193549
2020,2,661869.8620689656,51.136070974994134,99.89531438142153,1,2020-02-01,844706.6767676767,-182836.81469871115
2020,3,611031.6470588235,47.13324672757103,69.46199815606242,5,2020-03-01,879585.1773399014,-268553.53028107795
2022,1,458987.67741935485,66.61662240243582,72.99474496372613,0,2022-01-01,852213.4838709678,-393225.8064516129
2022,2,398311.85714285716,114.49266998445093,233.9165174713314,2,2022-02-01,844706.6767676767,-446394.81962481956
2022,3,434743.70967741933,95.33221983278472,137.7264410776827,0,2022-03-01,879585.1773399014,-444841.4676624821
2022,4,509688.0333333333,88.66389606575964,127.03841047845805,0,2022-04-01,854279.42,-344591.3866666667
2022,5,553941.7419354839,80.23513784704849,104.14372890081194,4,2022-05-01,888150.4451612904,-334208.7032258065
2022,6,713724.7,80.35528216553287,132.7626433446712,10,2022-06-01,903415.76,-189691.06000000006
2022,7,718206.2580645161,65.85695577156024,101.97116163550581,2,2022-07-01,958000.7677419354,-239794.50967741932
2022,8,725212.9677419355,78.25136341255212,101.17064905354398,1,2022-08-01,967344.3161290323,-242131.34838709678
2022,9,738952.7666666667,78.77939905668934,99.09720971428571,11,2022-09-01,934880.3133333334,-195927.54666666663
2022,10,725246.7096774194,142.8293878635067,136.98743166798332,2,2022-10-01,985788.6387096774,-260541.929032258
2022,11,692280.4,124.4959335963719,111.97420908616779,3,2022-11-01,986604.4133333333,-294324.0133333333
2022,12,765134.1612903225,155.87801271757738,123.36887222668422,23,2022-12-01,997550.8903225807,-232416.72903225815
2023,1,733260.6774193548,131.7486412802282,168.4609587502743,3,2023-01-01,852213.4838709678,-118952.80645161297
2023,2,773405.3928571428,84.4827656840622,160.8387448255588,13,2023-02-01,844706.6767676767,-71301.28391053388
2023,3,901488.8709677419,70.63922655218346,93.86835636284836,12,2023-03-01,879585.1773399014,21903.69362784049
2023,4,811629.3,62.282650475056684,85.07697671882086,10,2023-04-01,854279.42,-42650.119999999995
2023,5,879280.2258064516,73.93850627693658,96.24586634101382,8,2023-05-01,888150.4451612904,-8870.219354838715
2023,6,896163.9666666667,58.43605084807256,99.40299420861678,6,2023-06-01,903415.76,-7251.793333333335
2023,7,905041.5161290322,78.71820356989248,121.81635388918149,1,2023-07-01,958000.7677419354,-52959.2516129032
2023,8,957629.0645161291,73.5956908784288,99.02559581303488,7,2023-08-01,967344.3161290323,-9715.251612903201
2023,9,956446.5333333333,81.03344511791383,102.84813958503402,5,2023-09-01,934880.3133333334,21566.219999999972
2023,10,1031871.8709677419,79.16985298595566,75.35360333640554,0,2023-10-01,985788.6387096774,46083.232258064556
2023,11,1060774.3333333333,123.01017923582766,105.12290540136055,1,2023-11-01,986604.4133333333,74169.91999999993
2023,12,1053261.677419355,138.3320184753127,109.20348096423085,17,2023-12-01,997550.8903225807,55710.787096774206
2024,1,1050040.2903225806,100.9508380963353,117.69262963879746,2,2024-01-01,852213.4838709678,197826.80645161285
2024,2,1064652.8275862068,42.10944008451794,67.6742918587849,22,2024-02-01,844706.6767676767,219946.15081853012
2024,3,1086171.0967741935,45.13738251847707,58.10958483190696,10,2024-03-01,879585.1773399014,206585.919434292
2024,4,1062232.9333333333,61.585372429251706,83.22505694671203,2,2024-04-01,854279.42,207953.5133333333
2024,5,1145196.5483870967,87.91064715317094,110.77860297630019,10,2024-05-01,888150.4451612904,257046.10322580638
2024,6,1105546.7,78.68233634920635,129.90135729931973,4,2024-06-01,903415.76,202130.93999999994
2024,7,1188026.8064516129,48.274579025784504,77.80126363440861,2,2024-07-01,958000.7677419354,230026.0387096774
2024,8,1203634.7419354839,95.93816479635726,120.95393777397412,1,2024-08-01,967344.3161290323,236290.4258064516
2024,9,1159565.5333333334,80.74244571882086,99.1828498526077,10,2024-09-01,934880.3133333334,224685.2200000001
2024,10,1226888.5161290322,93.44659115997366,93.9297846030283,1,2024-10-01,985788.6387096774,241099.87741935486
2024,11,1231486.6,168.90874409750566,142.66193808390022,0,2024-11-01,986604.4133333333,244882.18666666676
