NAME_1,stop_count,stop_density,poi_count,friction_estimate,underserved_score
Johor,23.0,14800713.857734652,1813,0.5234816084030609,0.2321358909410435
Kedah,8.0,10292186.689048057,783,0.3487240500568686,0.18898000732453352
Kelantan,38.0,30785256.92587566,512,0.41256043458891234,0.24280744492943981
KualaLumpur,1289.0,58208374238.75339,4500,0.48552796034222495,0.0
Labuan,0.0,0.0,27,0.598375005260132,0.40894691264736605
Melaka,1.0,7435700.523294837,416,0.4786904779454619,0.32432424271545957
NegeriSembilan,14.0,25818874.417870775,497,0.49066178060535454,0.3419808879034211
Pahang,28.0,9593173.470349424,782,0.5032808046159352,0.3507141978642621
Perak,20.0,11732193.420906227,1726,0.5256860037432538,0.33089097929443945
Perlis,3.0,44537987.41445527,51,0.5545510819567716,0.4562434806651023
PulauPinang,6.0,69740324.22741733,3358,0.6969192317836104,0.3493553950758132
Putrajaya,99.0,19716912928.91905,113,0.4053273994744236,0.23408776962453495
Sabah,0.0,0.0,1020,0.4239177095409981,0.33878734353781836
Sarawak,0.0,0.0,1180,0.4152813571845075,0.33452431250212755
Selangor,2526.0,3967113695.413293,8102,0.6188131616619417,0.0
Trengganu,0.0,0.0,572,0.7971742541535083,0.7408938698810068
