service,pre_mco_avg,mco_avg,post_mco_avg,collapse_pct,recovery_pct
bus_rkl,,,183226.81,,
bus_rpn,,,41269.42,,
rail_lrt_ampang,177732.92,66122.03,160609.83,-62.8,-9.63
rail_mrt_kajang,175796.04,59621.26,202344.7,-66.08,15.1
rail_lrt_kj,258553.3,77688.4,210227.65,-69.95,-18.69
rail_monorail,34871.26,12985.48,48536.02,-62.76,39.19
rail_mrt_pjy,,,110624.89,,
rail_ets,,1796.4,11227.11,,
rail_intercity,,868.0,3772.17,,
rail_komuter_utara,,3029.31,13273.62,,
rail_tebrau,,,8355.28,,
rail_komuter,,,29809.81,,
is_mco,,1.0,0.0,,
day_of_year,157.91,200.23,173.82,26.8,10.07
is_weekend,0.29,0.28,0.29,-0.23,0.29
dow_sin,0.0,0.0,0.0,-15.72,-84.49
dow_cos,0.0,-0.0,0.0,-319.44,-59.6
month_sin,0.13,-0.09,0.06,-173.69,-54.92
month_cos,0.09,-0.07,0.01,-171.09,-84.2
