NAME_1,pop_total,area_km2,stop_count,stops_per_100k_pop
Johor,5056599.926891044,1.5539790999999986e-06,23.0,0.4548510922860595
Kedah,5641208.951462388,7.772886599999999e-07,40.0,0.7090678672632872
Kelantan,2221912.053277038,1.2343570850000018e-06,38.0,1.710238708321278
KualaLumpur,3600671.4056396484,2.2144579999999768e-08,1289.0,35.79887900853905
Labuan,145598.93831157684,7.3967000000000855e-09,0.0,0.0
Melaka,1461179.955570221,1.344863200000004e-07,1.0,0.06843783999279905
NegeriSembilan,4632379.43730855,5.422389750000012e-07,14.0,0.30222049358146086
Pahang,14739330.372379558,2.918742175000003e-06,28.0,0.1899679245433699
Perak,7313479.481864125,1.7047110699999988e-06,28.0,0.3828547009591543
Perlis,382351.38698518276,6.735823000000037e-08,3.0,0.784618573939228
PulauPinang,2629944.8923124075,8.603343999999921e-08,1888.0,71.7885764648078
Putrajaya,135021.4129486084,5.021069999999615e-09,99.0,73.32170345283025
Sabah,5489607.188461393,6.030245934999977e-06,0.0,0.0
Sarawak,3489648.267828658,1.006900481999998e-05,0.0,0.0
Selangor,11921539.44531691,6.36734964999999e-07,2526.0,21.18853870833165
Trengganu,1663869.949307963,1.0508450849999965e-06,0.0,0.0
