state,area_km2
Johor,1.5539790999999986e-06
Kedah,7.772886599999999e-07
Kelantan,1.2343570850000018e-06
KualaLumpur,2.2144579999999768e-08
Labuan,7.3967000000000855e-09
Melaka,1.344863200000004e-07
NegeriSembilan,5.422389750000012e-07
Pahang,2.918742175000003e-06
Perak,1.7047110699999988e-06
Perlis,6.735823000000037e-08
PulauPinang,8.603343999999921e-08
Putrajaya,5.021069999999615e-09
Sabah,6.030245934999977e-06
Sarawak,1.006900481999998e-05
Selangor,6.36734964999999e-07
Trengganu,1.0508450849999965e-06
