year_month,avg_daily,total_monthly,min_daily,max_daily
2019-01,627354.0,19447972,342432,796281
2019-02,576932.0,16154104,332385,788763
2019-03,650242.0,20157497,355167,860003
2019-04,668510.0,20055305,364938,824283
2019-05,622435.0,19295470,326915,835071
2019-06,587316.0,17619475,330017,820225
2019-07,678597.0,21036499,364326,843762
2019-08,658735.0,20420797,358788,852582
2019-09,621054.0,18631618,348945,828935
2019-10,691262.0,21429132,378563,868127
2019-11,697944.0,20938307,400193,853397
2019-12,680889.0,21107563,394461,891594
2020-01,647676.0,20077950,333062,862900
2020-02,661870.0,19194226,337930,846273
2020-03,611032.0,10387538,275025,802830
2022-01,458988.0,14228618,298515,555050
2022-02,398312.0,11152732,276527,497134
2022-03,434744.0,13477055,313883,523801
2022-04,509688.0,15290641,278908,661453
2022-05,553942.0,17172194,390036,700310
2022-06,713725.0,21411741,472680,853310
2022-07,718206.0,22264394,443463,891650
2022-08,725213.0,22481602,471545,856196
2022-09,738953.0,22168583,471806,868182
2022-10,725247.0,22482648,481098,885204
2022-11,692280.0,20768412,422782,862729
2022-12,765134.0,23719159,548499,871235
2023-01,733261.0,22731081,481934,911971
2023-02,773405.0,21655351,469537,920700
2023-03,901489.0,27946155,620839,1079046
2023-04,811629.0,24348879,553558,1002658
2023-05,879280.0,27257687,593541,1062437
2023-06,896164.0,26884919,609070,1066494
2023-07,905042.0,28056287,590939,1066871
2023-08,957629.0,29686501,639474,1176751
2023-09,956447.0,28693396,639923,1146982
2023-10,1031872.0,31988028,699160,1213671
2023-11,1060774.0,31823230,701200,1293834
2023-12,1053262.0,32651112,818553,1322400
2024-01,1050040.0,32551249,672251,1310316
2024-02,1064653.0,30874932,718517,1281499
2024-03,1086171.0,33671304,685722,1310993
2024-04,1062233.0,31866988,707225,1287830
2024-05,1145197.0,35501093,790224,1351074
2024-06,1105547.0,33166401,784222,1298646
2024-07,1188027.0,36828831,792105,1347173
2024-08,1203635.0,37312677,819472,1355787
2024-09,1159566.0,34786966,800423,1355607
2024-10,1226889.0,38033544,848602,1387992
2024-11,1231487.0,36944598,858050,1417264
2024-12,1216154.0,37700788,813511,1630790
2025-01,1173438.0,36376590,784506,1404571
2025-02,1239609.0,34709057,810356,1449543
2025-03,1151057.0,35682761,705321,1395045
2025-04,1219337.0,36580100,804557,1491793
2025-05,1239899.0,38436875,819583,1473886
2025-06,1214328.0,36429828,838880,1433087
2025-07,1300133.0,40304108,845468,1467727
2025-08,1291509.0,40036792,864631,1482600
2025-09,1198383.0,35951484,788071,1439522
2025-10,1253674.0,38863887,756848,1476597
2025-11,1250537.0,37516115,836083,1453055
2025-12,1272315.0,39441766,875847,1708310
2026-01,1274738.0,39516866,823426,1544499
2026-02,1196840.0,33511520,681617,1583000
2026-03,1201080.0,37233481,787308,1485712
