model_key,display_name,mco,lookback,run_id,verdict,val_drift_pct,gap_ratio,val_trend,early_stop,best_epoch,total_epochs,notes
astgcn,ASTGCNForecaster,exclude,14,20260530_122352,good_fit,8.71,2.0426,flat,False,39,54,Val drift +8.7% above best — within normal patience-window oscillation (threshold 25%). | Val/train gap 2.04× is within the 3× threshold (accounts for dropout + input noise during training). | No overfitting or underfitting signals detected.
astgcn,ASTGCNForecaster,exclude,28,20260530_122433,good_fit,10.53,2.1423,falling,False,37,52,Val drift +10.5% above best — within normal patience-window oscillation (threshold 25%). | Val/train gap 2.14× is within the 3× threshold (accounts for dropout + input noise during training). | No overfitting or underfitting signals detected.
astgcn,ASTGCNForecaster,exclude,56,20260530_122533,overfit,39.49,2.1856,falling,False,31,46,Val loss drifted +39.5% above its best (best=0.00759 → final=0.01058) — model degraded after epoch 31. | Val/train gap 2.19× is within the 3× threshold (accounts for dropout + input noise during training). | Training loss still declining in final 10 epochs while val drifted up +39.5% — train/val divergence detected.
astgcn,ASTGCNForecaster,include,14,20260530_153236,overfit,25.96,2.2429,falling,False,24,39,Val loss drifted +26.0% above its best (best=0.00490 → final=0.00617) — model degraded after epoch 24. | Val/train gap 2.24× is within the 3× threshold (accounts for dropout + input noise during training). | Training loss still declining in final 10 epochs while val drifted up +26.0% — train/val divergence detected.
astgcn,ASTGCNForecaster,include,28,20260530_153319,overfit,565.34,2.9312,falling,False,16,31,Val loss drifted +565.3% above its best (best=0.00658 → final=0.04377) — model degraded after epoch 16. | Val/train gap 2.93× is within the 3× threshold (accounts for dropout + input noise during training). | Training loss still declining in final 10 epochs while val drifted up +565.3% — train/val divergence detected.
astgcn,ASTGCNForecaster,include,56,20260530_153421,overfit,243.2,4.0324,flat,False,14,29,"Val loss drifted +243.2% above its best (best=0.01058 → final=0.03630) — model degraded after epoch 14. | Val/train gap 4.03× exceeds 3× (min_train=0.00262, best_val=0.01058) — significant memorisation of training data. | Training loss still declining in final 10 epochs while val drifted up +243.2% — train/val divergence detected."
astgcn_tuned,ASTGCNForecaster (tuned),exclude,14,20260530_125008,overfit,12.57,2.0027,falling,False,19,34,Val drift +12.6% above best — within normal ... | Val/train gap 2.00× is within the 3× threshold ... | Training loss still declining in final 10 epochs ...
astgcn_tuned,ASTGCNForecaster (tuned),exclude,28,20260530_125115,overfit,15.08,2.3587,falling,False,27,42,Val drift +15.1% above best — within normal ... | Val/train gap 2.36× is within the 3× threshold ... | Training loss still declining in final 10 epochs ...
astgcn_tuned,ASTGCNForecaster (tuned),exclude,56,20260530_125329,good_fit,7.95,2.6581,falling,False,33,48,Val drift +7.9% above best — within normal ... | Val/train gap 2.66× is within the 3× threshold ... | No overfitting or underfitting signals detected.
astgcn_tuned,ASTGCNForecaster (tuned),include,14,20260530_160302,overfit,88.56,2.7742,falling,False,26,41,Val loss drifted +88.6% above its best ... | Val/train gap 2.77× is within the 3× threshold ... | Training loss still declining in final 10 epochs ...
astgcn_tuned,ASTGCNForecaster (tuned),include,28,20260530_160429,overfit,463.65,3.4691,falling,False,10,25,Val loss drifted +463.7% above its best ... | Val/train gap 3.47× exceeds ... | Training loss still declining in final 10 epochs ...
astgcn_tuned,ASTGCNForecaster (tuned),include,56,20260530_160723,overfit,388.98,3.6845,falling,False,18,33,Val loss drifted +389.0% above its best ... | Val/train gap 3.68× exceeds ... | Training loss still declining in final 10 epochs ...
autoformer,AutoformerForecaster,exclude,14,20260530_123055,good_fit,0.58,2.3349,falling,False,36,51,Val drift +0.6% above best — within normal patience-window oscillation (threshold 25%). | Val/train gap 2.33× is within the 3× threshold (accounts for dropout + input noise during training). | No overfitting or underfitting signals detected.
autoformer,AutoformerForecaster,exclude,28,20260530_123503,good_fit,3.19,2.3563,falling,False,44,59,Val drift +3.2% above best — within normal patience-window oscillation (threshold 25%). | Val/train gap 2.36× is within the 3× threshold (accounts for dropout + input noise during training). | No overfitting or underfitting signals detected.
autoformer,AutoformerForecaster,exclude,56,20260530_123850,good_fit,4.2,2.773,falling,False,33,48,Val drift +4.2% above best — within normal patience-window oscillation (threshold 25%). | Val/train gap 2.77× is within the 3× threshold (accounts for dropout + input noise during training). | No overfitting or underfitting signals detected.
