Model,base_nomco_lb14_Combined%,base_nomco_lb14_MAPE%,base_nomco_lb14_MAE%,base_nomco_lb14_RMSE%,base_nomco_lb14_R²,base_nomco_lb14_MAE,base_nomco_lb14_RMSE,base_nomco_lb28_Combined%,base_nomco_lb28_MAPE%,base_nomco_lb28_MAE%,base_nomco_lb28_RMSE%,base_nomco_lb28_R²,base_nomco_lb28_MAE,base_nomco_lb28_RMSE,base_nomco_lb56_Combined%,base_nomco_lb56_MAPE%,base_nomco_lb56_MAE%,base_nomco_lb56_RMSE%,base_nomco_lb56_R²,base_nomco_lb56_MAE,base_nomco_lb56_RMSE,base_mco_lb14_Combined%,base_mco_lb14_MAPE%,base_mco_lb14_MAE%,base_mco_lb14_RMSE%,base_mco_lb14_R²,base_mco_lb14_MAE,base_mco_lb14_RMSE,base_mco_lb28_Combined%,base_mco_lb28_MAPE%,base_mco_lb28_MAE%,base_mco_lb28_RMSE%,base_mco_lb28_R²,base_mco_lb28_MAE,base_mco_lb28_RMSE,base_mco_lb56_Combined%,base_mco_lb56_MAPE%,base_mco_lb56_MAE%,base_mco_lb56_RMSE%,base_mco_lb56_R²,base_mco_lb56_MAE,base_mco_lb56_RMSE,tuned_nomco_lb14_Combined%,tuned_nomco_lb14_MAPE%,tuned_nomco_lb14_MAE%,tuned_nomco_lb14_RMSE%,tuned_nomco_lb14_R²,tuned_nomco_lb14_MAE,tuned_nomco_lb14_RMSE,tuned_nomco_lb28_Combined%,tuned_nomco_lb28_MAPE%,tuned_nomco_lb28_MAE%,tuned_nomco_lb28_RMSE%,tuned_nomco_lb28_R²,tuned_nomco_lb28_MAE,tuned_nomco_lb28_RMSE,tuned_nomco_lb56_Combined%,tuned_nomco_lb56_MAPE%,tuned_nomco_lb56_MAE%,tuned_nomco_lb56_RMSE%,tuned_nomco_lb56_R²,tuned_nomco_lb56_MAE,tuned_nomco_lb56_RMSE,tuned_mco_lb14_Combined%,tuned_mco_lb14_MAPE%,tuned_mco_lb14_MAE%,tuned_mco_lb14_RMSE%,tuned_mco_lb14_R²,tuned_mco_lb14_MAE,tuned_mco_lb14_RMSE,tuned_mco_lb28_Combined%,tuned_mco_lb28_MAPE%,tuned_mco_lb28_MAE%,tuned_mco_lb28_RMSE%,tuned_mco_lb28_R²,tuned_mco_lb28_MAE,tuned_mco_lb28_RMSE,tuned_mco_lb56_Combined%,tuned_mco_lb56_MAPE%,tuned_mco_lb56_MAE%,tuned_mco_lb56_RMSE%,tuned_mco_lb56_R²,tuned_mco_lb56_MAE,tuned_mco_lb56_RMSE,base_nomco_lb14_run_id,base_nomco_lb28_run_id,base_nomco_lb56_run_id,base_mco_lb14_run_id,base_mco_lb28_run_id,base_mco_lb56_run_id,tuned_nomco_lb14_run_id,tuned_nomco_lb28_run_id,tuned_nomco_lb56_run_id,tuned_mco_lb14_run_id,tuned_mco_lb28_run_id,tuned_mco_lb56_run_id
ASTGCN,75.6917,7.4207,6.8932,9.9944,0.7027,86630.9378,125606.4563,76.8906,7.154,6.6093,9.3461,0.74,83101.3309,117512.0315,75.153,7.7364,7.4063,9.7042,0.7169,92973.7084,121820.9065,61.6888,12.577,11.8532,13.881,0.4707,146173.1474,171180.5398,55.7795,14.4066,14.0122,15.8017,0.3087,173110.3892,195217.3667,39.0479,18.6752,19.8348,22.4421,-0.3976,246150.3883,278508.0708,78.8241,6.3512,5.7332,9.0915,0.754,72052.6591,114258.9696,68.2243,9.9195,9.7308,12.1254,0.5623,122349.2639,152457.1071,73.6038,8.3366,7.8616,10.1979,0.6873,98690.1077,128018.1885,60.5019,12.6295,12.4962,14.3724,0.4325,154102.3301,177240.2161,52.9633,15.3382,15.0235,16.675,0.2301,185603.7726,206006.7925,55.137,14.5879,14.1902,16.0849,0.2821,176101.2825,199614.6679,20260530_122352,20260530_122433,20260530_122533,20260530_153236,20260530_153319,20260530_153421,20260530_125008,20260530_125115,20260530_125329,20260530_160302,20260530_160429,20260530_160723
Autoformer,74.7302,7.8582,7.5125,9.8991,0.7083,94414.2427,124407.8664,73.6118,8.3502,7.8932,10.1449,0.6936,99243.6278,127555.7623,73.4013,8.4709,7.694,10.4338,0.6727,96585.6867,130978.8795,51.2614,15.2498,15.6012,17.8876,0.121,192393.2393,220589.2662,60.0481,12.6745,12.7686,14.5087,0.4172,157746.6118,179243.6995,60.7316,12.4166,12.5053,14.3465,0.4289,155191.415,178041.1007,75.2068,7.7678,6.7652,10.2602,0.6866,85022.5754,128946.5506,76.6612,7.1437,6.4173,9.7779,0.7154,80687.0654,122940.7252,70.9794,9.3154,8.7234,10.9818,0.6374,109508.0258,137859.0954,60.6374,12.4928,11.8747,14.9951,0.3823,146438.9247,184919.3451,57.0109,13.3685,13.094,16.5266,0.2438,161766.8054,204173.2661,55.787,13.7571,13.7917,16.6642,0.2294,171155.8726,206803.6212,20260530_123055,20260530_123503,20260530_123850,20260530_154211,20260530_154813,20260530_160104,20260530_125829,20260530_130510,20260530_130946,20260530_161632,20260530_162409,20260530_163628
BiLSTM,79.0378,6.523,5.7656,8.6736,0.7761,72459.5759,109006.5194,76.9698,7.2264,6.644,9.1598,0.7502,83537.5733,115169.8023,77.0918,7.2551,6.5101,9.143,0.7487,81723.6993,114775.3664,72.7432,8.6365,8.1561,10.4642,0.6992,100581.2147,129044.1957,69.9042,9.545,9.2849,11.2659,0.6486,114707.2232,139181.9633,72.6171,8.7934,8.2367,10.3528,0.7026,102218.2829,128478.6604,79.4366,6.3855,5.8496,8.3283,0.7935,73516.0887,104666.9377,78.3295,6.671,5.8277,9.1719,0.7496,73273.2744,115321.141,75.9043,7.493,6.6951,9.9076,0.7049,84046.1429,124374.1896,70.6644,9.2944,9.0145,11.0267,0.666,111166.734,135981.2111,69.4249,9.6403,9.3654,11.5694,0.6294,115702.0472,142931.2325,70.3431,9.3942,9.1756,11.0871,0.6589,113869.1968,137591.4407,20260530_143740,20260530_143751,20260530_143800,20260530_165745,20260530_165759,20260530_165819,20260530_150940,20260530_150955,20260530_151018,20260530_172400,20260530_172430,20260530_172501
CNN-BiLSTM,78.1777,6.8102,6.1176,8.8945,0.7645,76883.8157,111782.2799,72.4593,8.7673,8.2483,10.5251,0.6702,103709.171,132335.6047,75.0171,7.867,7.225,9.8909,0.7059,90697.6361,124164.7801,60.7665,12.3879,12.4423,14.4034,0.4301,153437.6302,177622.9488,62.1906,12.0232,11.942,13.8441,0.4693,147534.7058,171033.4728,47.5281,16.1734,16.9048,19.3936,-0.0437,209789.929,240675.8161,76.3964,7.4827,6.9543,9.1666,0.7499,87398.6521,115202.2991,75.015,7.8337,7.4386,9.7126,0.7192,93528.8573,122119.9275,75.6389,7.7888,6.9036,9.6686,0.7189,86663.2491,121373.9171,65.7116,10.8033,10.8464,12.6387,0.5612,133757.6857,155859.9527,65.8651,10.7639,10.7274,12.6437,0.5574,132528.7351,156202.8721,67.6006,10.2702,10.1691,11.9602,0.6031,126198.866,148426.2192,20260530_143929,20260530_143943,20260530_143953,20260530_165910,20260530_165925,20260530_165937,20260530_151212,20260530_151225,20260530_151235,20260530_174406,20260530_174424,20260530_174435
CNN-LSTM,77.6418,6.9212,6.3158,9.1212,0.7523,79374.828,114632.2594,76.1512,7.5466,6.7449,9.5573,0.7281,84805.8303,120167.6359,74.1559,8.0714,7.6385,10.1342,0.6912,95888.948,127218.1125,47.5875,16.567,17.0164,18.8291,0.026,209845.3759,232200.3968,50.8937,15.7054,15.971,17.4299,0.1589,197309.3534,215333.1275,58.5639,13.1733,13.3838,14.8789,0.3857,166094.0547,184648.2829,73.6847,8.295,7.9603,10.06,0.6987,100041.6195,126430.6594,75.5337,7.7256,7.1288,9.6119,0.725,89632.8129,120853.7829,74.7559,7.9793,7.4127,9.8521,0.7082,93053.8757,123677.321,47.5902,16.6221,16.8948,18.8929,0.0194,208346.6506,232986.6248,42.9925,18.0821,18.4429,20.4826,-0.1616,227847.7026,253046.5468,52.0872,15.1076,15.5457,17.2595,0.1734,192923.0653,214191.0484,20260530_144435,20260530_144448,20260530_144500,20260530_170949,20260530_171003,20260530_171029,20260530_150113,20260530_150128,20260530_150140,20260530_174659,20260530_174711,20260530_174723
CNN-LSTM-Augmented,75.362,7.7697,7.1896,9.6788,0.7211,90355.8308,121638.9589,75.2697,7.8003,7.1399,9.7902,0.7147,89772.053,123095.6785,73.9873,8.2807,7.5322,10.1999,0.6872,94554.1367,128042.656,65.2521,11.029,10.8781,12.8407,0.547,134148.3906,158351.8201,68.8911,9.949,9.5975,11.5624,0.6299,118569.5507,142844.6441,66.0718,10.799,10.5386,12.5905,0.5601,130784.7935,156249.1683,76.6082,7.3568,6.7002,9.3348,0.7406,84205.2164,117316.5447,77.2973,7.1354,6.39,9.1772,0.7493,80344.3057,115388.5589,75.3059,7.8058,7.1395,9.7488,0.7143,89625.3189,122379.9085,67.9832,10.1693,9.8443,12.0032,0.6042,121399.237,148023.8532,63.4767,11.6556,11.5411,13.3266,0.5083,142581.2022,164640.0445,61.5132,12.131,12.1948,14.161,0.4435,151338.5135,175738.1952,20260530_144919,20260530_144932,20260530_144943,20260530_171338,20260530_171351,20260530_171409,20260530_145558,20260530_145614,20260530_145624,20260530_175100,20260530_175113,20260530_175125
CNN-LSTM-Parallel,73.2034,8.4917,8.0609,10.244,0.6876,101306.4921,128743.1388,76.4713,7.504,6.7037,9.3209,0.7414,84288.7584,117195.3863,74.9656,8.0184,6.9594,10.0567,0.6959,87363.4689,126245.755,69.7838,9.5812,9.1479,11.487,0.6375,112812.2103,141657.5282,71.1425,9.2285,8.6586,10.9705,0.6668,106969.8754,135532.4165,61.9734,12.0451,12.1359,13.8456,0.468,150606.8886,171825.0117,72.3009,8.8156,8.3362,10.5473,0.6689,104766.1709,132555.0239,74.2921,8.2095,7.6302,9.8682,0.7101,95937.7494,124076.7951,72.1507,8.8232,8.5505,10.4756,0.6701,107337.6509,131504.0225,67.681,10.3181,9.9034,12.0975,0.598,122128.6713,149186.7508,67.8175,10.2694,9.6047,12.3083,0.5806,118658.9465,152060.205,66.9299,10.6743,10.1208,12.275,0.5819,125599.4549,152333.627,20260530_144622,20260530_144633,20260530_144644,20260530_171220,20260530_171242,20260530_171259,20260530_145919,20260530_145932,20260530_145944,20260530_174757,20260530_174815,20260530_174832
Informer,79.1281,6.5871,5.5282,8.7566,0.7718,69476.4953,110049.5364,78.7003,6.6158,5.6148,9.0691,0.7551,70596.644,114029.171,77.7257,7.0397,5.8474,9.3872,0.7351,73405.2312,117840.6946,73.2176,8.693,7.7259,10.3635,0.7049,95275.157,127802.2448,76.0237,7.518,6.7395,9.7188,0.7385,83261.9611,120068.3489,72.4094,8.8842,8.3165,10.3899,0.7004,103207.5836,128939.332,79.9938,6.162,5.2007,8.6435,0.7776,65359.8578,108627.9801,79.7813,6.2818,5.4955,8.4413,0.7879,69096.9522,106135.7993,77.5108,6.9776,6.039,9.4727,0.7302,75809.5329,118914.3437,75.7895,7.5657,6.9442,9.7006,0.7415,85635.8874,119627.9053,75.5119,7.7251,7.0815,9.6814,0.7405,87486.8693,119606.6723,77.5588,6.9482,6.194,9.299,0.76,76867.8201,115400.5083,20260530_123952,20260530_124024,20260530_124054,20260530_160247,20260530_160406,20260530_160506,20260530_131553,20260530_131624,20260530_131658,20260530_164138,20260530_164246,20260530_164342
LSTM,78.13,6.7104,6.1841,8.9755,0.7602,77719.4559,112800.5458,77.4768,7.0102,6.4829,9.0301,0.7572,81511.6964,113539.1611,75.9806,7.5669,7.1039,9.3486,0.7372,89178.3241,117356.1792,58.9198,12.9575,13.224,14.8987,0.3902,163078.4566,183730.1213,58.3204,13.1133,13.4439,15.1224,0.3668,166089.2412,186825.589,57.5335,13.4398,13.6243,15.4024,0.3417,169078.4042,191144.45,78.4293,6.6901,6.2334,8.6473,0.7774,78338.605,108675.9529,77.2689,7.1213,6.6581,8.9518,0.7614,83714.4038,112554.5283,73.9288,8.1562,7.9386,9.9765,0.7007,99655.6474,125238.7012,66.2251,10.8026,10.6202,12.3521,0.5809,130968.6222,152325.4629,61.0546,12.2923,12.5399,14.1132,0.4485,154920.5564,174358.0376,61.3641,12.251,12.4281,13.9567,0.4595,154232.9789,173203.6621,20260530_144149,20260530_144200,20260530_144216,20260530_165524,20260530_165538,20260530_165549,20260530_150849,20260530_150901,20260530_150913,20260530_172251,20260530_172305,20260530_172316
MTGNN,76.9838,7.2343,6.6967,9.0851,0.7543,84162.2482,114178.1398,77.9946,6.8762,6.3185,8.8106,0.7689,79445.0616,110779.1721,77.7633,6.8942,6.3532,8.9893,0.757,79754.3824,112845.6643,66.8,10.717,9.8991,12.5839,0.565,122075.8814,155183.9222,66.0206,10.9871,10.2923,12.6999,0.5534,127153.8981,156898.0715,62.9996,12.0,11.317,13.6833,0.4804,140445.0162,169810.2742,76.3996,7.3604,6.9227,9.3173,0.7416,87002.2441,117095.8396,74.5082,8.0405,7.5766,9.8746,0.7097,95263.9665,124157.085,74.1973,8.0236,7.6021,10.177,0.6886,95432.4199,127755.2571,57.4055,13.3241,13.6255,15.6448,0.3276,168029.8448,192931.4064,61.7284,12.1489,11.8709,14.2518,0.4376,146656.2326,176069.9952,60.6927,12.4818,12.4324,14.3931,0.4251,154286.9403,178618.6007,20260530_133447,20260530_133528,20260530_133612,20260530_161621,20260530_161705,20260530_161758,20260530_135837,20260530_135932,20260530_140110,20260530_165446,20260530_165541,20260530_165712
